gene,n_datasets_detected,n_datasets_significant,mean_log2fc,consistent_direction
TMEM45A,2,2,1.4551920527906157,True
TMPRSS4,2,2,1.315498003386554,True
TP63,2,2,1.6882842219908958,True
TRIM2,2,2,1.0141709553249303,True
VCAM1,2,2,1.4823376973263307,True
VEGFA,2,2,-0.4130844156484579,True
VSIG1,2,2,1.7526998682100836,True
WDR49,2,2,1.3240047863795512,True
ZBTB16,2,2,-1.4248488666232522,True
ZBTB7C,2,2,0.5839608772506999,True
ZKSCAN1,2,2,0.5498161071106438,True
