gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
ABCA5,3,2,-0.10462064632660766,-0.3687699603956238,True
ACTA2,3,2,0.404793403700974,0.5883379935825976,False
AKR1C2,3,2,0.1436932075807992,-0.3434216361005995,True
APOE,3,3,0.8107512643967812,0.8107512643967812,True
ATP5PF,3,2,0.2973836609389104,0.5136773192160571,False
ATP6V1E1,3,2,-0.1265443800908308,-0.5004476271632852,True
ATPAF1,3,3,0.24163634304793055,0.24163634304793055,False
CADM1,3,2,0.5466440245457193,0.8102036299568338,True
CALM2,3,2,0.29290440212115126,0.46123756074262445,False
CCDC90B,3,2,0.36945083346534346,0.1902812241973555,True
CNKSR3,3,2,0.40670156671952934,0.6750109018835371,True
CPLX1,3,2,-0.26370763628287336,-0.3668070408834647,True
CRELD2,3,2,0.5175733861152056,0.333437798561681,True
CYBA,3,3,0.8712628167693591,0.8712628167693591,True
DEPDC5,3,2,0.018321273074113797,-0.21183136998837515,True
DPP8,3,2,0.01739966438109075,-0.391246006286051,True
DTD1,3,2,-0.008563541535823541,-0.33258237848722416,True
FAU,3,2,0.39963896762672074,0.17921533499600262,True
GPAT3,3,2,-0.17954910868102947,-0.541734887542681,True
H2AX,3,3,0.3265000219401542,0.3265000219401542,True
HAPSTR1,3,2,0.5081054635351375,0.7426128371809102,True
HLA-DRB1,2,2,1.4183973023845746,1.4183973023845746,True
IL10RB,3,2,0.6056247416781072,0.867751193121008,True
IMMT,3,3,0.19585121768667513,0.19585121768667513,False
KIAA0930,3,2,0.3670132486954237,0.2978048804450153,True
MAP2K1,3,2,0.06785683747896669,-0.41140562082837073,True
MAPKAPK3,3,3,0.7311594422895263,0.7311594422895263,True
MT2A,3,2,0.8593005868952842,0.829672690581889,True
MTIF3,3,2,0.3104671522146063,0.5500342132332889,True
NOP58,3,2,0.337987765674856,0.5177034896084369,True
OXR1,3,2,0.022603672644104716,-0.589928644183809,True
PACRG,3,2,0.058601392327640354,-0.19879126869259744,True
PEX11B,3,2,-0.008803446751826982,-0.4431969756471137,True
PGM2L1,3,2,0.12424967675919636,0.2700067757003337,False
PICALM,3,2,0.47670996046160496,0.6910845912687398,True
PLIN2,3,3,1.0501228358988002,1.0501228358988002,True
PLOD1,3,2,0.5724559453656667,0.4434836987793829,True
PXN,2,2,0.6127616138627969,0.6127616138627969,True
RABL2A,3,2,0.2642358449230236,0.3166803103196485,False
RARS1,3,2,0.2511314393695603,0.471957417165493,False
RUSC1,3,3,0.06917404414368811,0.06917404414368811,False
SAT2,3,2,0.05632256666545151,-0.16256905147537815,True
SCCPDH,3,2,0.23393567745230884,0.38436504728243825,True
SDHA,3,2,-0.0016191397836156085,-0.33885336306966884,True
SELENOS,3,2,0.6178494119819926,0.7884153610329632,True
SF3A3,3,2,0.18008249843138233,-0.11468663738356133,True
SLC17A6,3,2,-0.5334277465291019,-1.0026711915900428,True
SLC39A1,3,2,0.6246249261989815,0.7212258965826779,True
SMO,2,2,0.7063128155508683,0.7063128155508683,True
SOX9,3,2,0.714067261531817,0.5508290755857739,True
TAP1,3,2,0.8575093267481027,0.948145971479204,True
TARBP1,3,2,-0.20389089302523603,-0.5754520189964696,True
TP53I13,3,3,0.45582747050384365,0.45582747050384365,True
VPS33B,3,2,-0.02439113829518824,-0.33038941670390454,True
ZNF69,3,2,0.5046135203049428,0.6900292335247209,True
