gene,cluster_id,random_effect,random_se,random_p,fixed_effect,fixed_se,fixed_p,i_squared,tau_squared,cochran_q,n_datasets,direction
ACBD6,0,0.19626298792571095,0.30571025223415155,0.5208795419320286,-0.08325602038188938,0.051315176273321675,0.10470822888260581,91.52603446197669,0.21953829395072594,23.601700892290054,3,up
ACTL6B,0,-0.42010555330956406,0.14793068836228956,0.004513036388424786,-0.4000784115260889,0.07449769039204686,7.858549591309765e-08,48.63270826126869,0.03119028548107013,3.8935282205894177,3,down
COXFA4,0,0.10839897826916371,0.34837880710864216,0.7556846008114131,-0.10830978127068397,0.049364571983788,0.028229715342191566,89.12577953693433,0.28416842539271586,18.392122973715747,3,up
KIAA0232,0,-0.17166825594878682,0.11014576997243267,0.11910170764062669,-0.2113348000704672,0.05005458214130913,2.4205065107477362e-05,67.30365955708385,0.020513123572886507,6.116892511233046,3,down
NDUFAF5,0,-0.2710383663403106,0.11546109445959485,0.01890275268620534,-0.2619914406044839,0.05689417103374705,4.1268249799093e-06,53.94925480151373,0.019602639957228173,4.3430350396712845,3,down
PFKM,0,-0.2066528934612958,0.2624016289692749,0.4309633369203302,-0.2877409353801134,0.05849079637363229,8.679996028433469e-07,87.63531699434945,0.1487094366739384,16.175101287158093,3,down
RNF41,0,-0.2850478425142204,0.12215565490995631,0.01962293896808182,-0.27752732992078616,0.07011898156155519,7.559619699018218e-05,43.870268867984855,0.019513371763219583,3.5631740250030246,3,down
VRK1,0,-0.2518738732042301,0.1466314244550311,0.0858450328134298,-0.2181341949336231,0.05538037433365096,8.187797687140255e-05,61.66230515023548,0.03587176686522387,5.216797743937087,3,down
DOK1,1,0.47653429267899966,0.1765815113990788,0.006961827833409475,0.4088348289026166,0.08532274222811907,1.6543353852747488e-06,67.04831106631578,0.0432971663880121,3.0347458123087874,2,up
DTNA,1,0.5019579389204843,0.0900004238370452,2.443026101426661e-08,0.5019579389204843,0.0900004238370452,2.443026101426661e-08,0.0,0.0,1.3495506280270335,3,up
ELF1,1,0.4098937667094418,0.12111780760862455,0.0007137120998641295,0.35856547059899196,0.07715050149733058,3.3580243443252573e-06,29.163160447861138,0.015196452347292711,2.823389655220172,3,up
MPZL1,1,0.2455464807507763,0.08546825683353028,0.004066516595338732,0.21345167964111295,0.05088758396923665,2.733862433784244e-05,40.351006250904994,0.008874571474977543,3.352948430970546,3,up
PEA15,1,0.2537359771998881,0.06465386352980892,8.689950835284979e-05,0.23850676058100115,0.04993462774001186,1.7847891865974956e-06,13.096662601300721,0.0025710551158841604,2.3014075867124695,3,up
RPL12,1,0.2974702190645883,0.06714937188131316,9.424283915910083e-06,0.2974702190645883,0.06714937188131316,9.424283915910083e-06,0.0,0.0,0.7792645541160341,3,up
