gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
ALDOC,0.17576587908787403,0.7183157062972932,0.0,0.0,0.0
ALPK1,0.9372633289072416,0.48272065133683933,0.0,1.0,0.0
ARHGEF3,0.7196600649577523,0.09034192479427466,0.0,0.0,0.0
BLMH,0.4932655810591505,0.35151452546557876,0.0,0.0,0.0
C1QTNF1,0.8457005526704524,0.11738318446486624,0.0,1.0,0.0
CEBPD,0.9226609669183253,0.39533735855921853,0.0,1.0,0.0
CHST11,0.6261822653040773,0.8629697096337464,0.0,1.0,0.0
CIAO1,0.6101945209374944,0.4939276454765923,0.0,0.0,0.0
DCBLD2,0.6582537637610034,0.04397483612189268,0.0,0.0,0.0
DCUN1D2,0.2126108752775381,0.6720825270409542,0.0,0.0,0.0
DEPP1,0.9848676694235162,0.3603898404742536,0.0,1.0,0.0
DNM1,0.08454459510931611,0.35045270032513653,0.0,0.0,0.0
DPP6,0.21433227438877478,0.279265380859018,0.0,0.0,0.0
DPP8,0.14541477574638467,0.7624602571260503,0.0,0.0,0.0
EFCAB14,0.6468507289095778,0.0,1.0,1.0,0.0
EHD4,0.7823073672924432,0.5622903341779802,1.0,1.0,0.0
EXOSC2,0.28944316882640725,0.021326050788428027,0.0,0.0,0.0
FAM81A,0.0,0.9943362803206413,0.0,0.0,0.0
FGR,0.7710373585141195,0.15760479974330738,0.0,1.0,0.0
FKBP14,0.8218511777886239,0.1655047743110075,0.0,1.0,0.0
FLII,0.44986492362266967,0.2642729004861265,0.0,0.0,0.0
IMP3,0.5239362485383204,0.4047576459825651,1.0,0.0,0.0
INTS5,0.2258463898784446,0.27392940012769107,0.0,0.0,0.0
JADE1,0.20430457311925043,0.6521197314242719,0.0,0.0,0.0
LRRC42,0.8504329128712447,0.39790825607647057,0.0,1.0,0.0
MAP3K20,0.5579319509359675,0.11833576976407667,0.0,1.0,0.0
NKIRAS2,0.5631264589411562,0.5842550192665569,0.0,1.0,0.0
NR2E1,0.665608901821898,0.46489032181942863,0.0,1.0,0.0
P4HA1,0.7545367540576778,0.679003456878675,1.0,1.0,0.0
PEX11B,0.1151881077224232,0.8403859090352143,0.0,0.0,0.0
PFDN4,0.17434677432270498,0.36215630940732757,0.0,0.0,0.0
PNKD,0.06817747423043995,1.0,0.0,0.0,0.0
PPA2,0.574580360523329,0.26446215295272973,0.0,0.0,0.0
PRPS1,0.13649101124695526,0.28837607364889606,0.0,0.0,0.0
RAB31,0.8848655939182446,0.42082135536140536,1.0,1.0,0.0
RANBP1,0.2554072127925022,0.20781547049779922,0.0,0.0,0.0
RNF41,0.17065321801459393,0.2627390313258423,0.0,0.0,0.0
RPL39,0.5437552662243442,0.5942361327126864,0.0,1.0,0.0
RPS19,0.5660460502721384,0.9933323233150166,0.0,1.0,0.0
SGIP1,0.6812639051993221,0.08245745699781076,0.0,0.0,0.0
SLC35A1,0.623759531146127,0.04124756544815129,0.0,0.0,0.0
SNX14,0.2135425507515959,0.42500136416561624,0.0,0.0,0.0
STMN1,0.6044249147808254,0.5398973588755811,0.0,0.0,0.0
SUV39H1,0.2564252374844657,0.47213196725972884,0.0,0.0,0.0
TDRKH,0.37830851477152927,0.42020337937407853,0.0,0.0,0.0
TFPI,1.0,0.7572518444651878,0.0,1.0,0.0
THUMPD1,0.21858797269734415,0.38250023365117547,0.0,0.0,0.0
TRMT11,0.1789704082571647,0.3109971299962291,0.0,0.0,0.0
TTC38,0.7401207459144471,0.2767681516592683,1.0,1.0,0.0
USP5,0.18171282012763396,0.39745550534056623,0.0,0.0,0.0
