gene,n_datasets_detected,n_datasets_significant,mean_log2fc,consistent_direction
IL1B,3,2,1.4340664913914696,True
IL1R1,3,2,-0.8727393099157901,True
IL23A,3,3,0.6622786575408338,True
IL23R,3,2,-0.5917464674906543,True
IL33,3,2,0.9538798271041147,True
IL6,3,2,1.0184578747918975,True
IL6R,3,3,-2.4018787894220734,True
IL6ST,3,2,-0.5520085176987445,True
INHBA,3,3,4.842972118007009,True
IRS1,3,2,0.7312517901323309,True
IRS2,3,2,1.1637481102596279,True
ITGA5,3,2,0.5799049341140595,True
JAG1,3,2,0.04134843943784716,False
JAG2,3,3,1.487023524033295,True
JAK1,3,3,0.09143695347398466,False
JAK2,3,2,-0.6501120009412382,True
JUN,3,2,0.7668882436115911,True
KDM6A,3,3,-0.1428835738584683,False
KLF4,3,3,-1.9670786659214183,True
KMT2D,3,2,0.3668402938458956,True
KRAS,3,2,-0.4968692982014697,True
KRT20,3,3,-1.8380807103854835,True
LDHA,3,3,0.4139126211099864,True
LEF1,3,3,1.2982702686743919,True
LGR4,3,2,-0.7710666723314551,True
LGR5,3,3,2.2271978063703237,True
LRP5,3,2,0.4893999422458262,True
LRP6,3,2,0.434147819698949,True
MAPK1,3,2,-0.12099665456207553,True
MAPK3,3,3,-0.5772926394244973,True
MCL1,3,2,0.12695013720921602,False
MET,3,3,1.8486933180453218,True
MKI67,3,3,1.4147643733688293,True
MLKL,3,2,0.5136997049066023,True
MMP1,3,3,3.5441565144151532,True
MMP11,3,3,2.5125672166241197,True
MMP13,2,2,1.2338464710980321,True
MMP14,3,3,0.543882755502552,True
MMP3,3,3,4.4364662934154415,True
MMP7,3,3,4.524354716618873,True
MMP9,3,2,0.7817686525779702,True
MRE11,3,3,1.151535568678136,True
MSH2,3,2,0.6694010713910027,True
MSH6,3,3,0.9189614867489372,True
MTAP,3,2,0.7032841437155769,True
MTHFR,3,2,-0.37851935514490237,True
MUC2,3,3,-2.2244660025839527,True
MUC5AC,3,2,0.4238355747402025,True
MYC,3,3,1.9060304979965188,True
NBN,3,2,0.4841522147076584,True
NFKB1,3,2,-0.3297139284130279,True
NFKBIA,3,3,-0.42051501351293236,True
NKD1,3,3,0.9387767607090511,True
NKD2,3,3,1.3809379318668231,True
NOTCH1,3,3,0.7570252124735838,True
NOTCH3,3,3,1.1250812911387482,True
NR1H4,3,3,-3.272612323928305,True
NRP2,3,2,0.231510026709863,False
NTHL1,3,3,0.8801252241386255,True
NTRK2,3,3,-1.1241920782345203,True
ODC1,3,2,1.0548317760115804,True
PALB2,3,3,0.9916022828238956,True
PCNA,3,3,0.8804617983695664,True
PDGFA,3,2,0.07969467304611595,False
PDGFRA,3,2,-0.826471738821794,True
PDGFRB,3,3,1.009704973256278,True
PFKFB3,3,2,0.8983078095286631,True
PHGDH,3,3,1.466129495289404,True
PIK3R2,3,3,0.6106150914516814,True
PKM,3,3,0.7947451554212529,True
PLA2G2A,3,3,-1.826965696406834,True
PLAUR,3,2,0.8945059701892152,True
PLCG1,3,2,0.6636904541317786,True
PLK1,3,3,1.2144894527513928,True
PMAIP1,3,2,1.3969178709823487,True
PMS1,3,3,0.631633318283952,True
POLD1,3,3,0.6925201000336582,True
POLE,3,3,0.4787020445336004,True
POT1,3,3,0.8945864311614677,True
PPARD,3,2,-0.8249411679741959,True
PPP2CA,3,2,0.017589188526643557,False
PRF1,3,2,-0.1311224160505405,False
PROM1,3,2,0.010326917397581662,False
PSAT1,3,3,2.8579217034081204,True
