gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
ADCY1,0.4907282983480793,0.41133968808385657,1.0,0.0,0.0
ANKFN1,0.6760269348094202,0.12703616555460692,0.0,1.0,0.0
ARHGDIB,0.88255456777187,0.05928188859557336,0.0,1.0,0.0
BANF1,0.5309271182420325,0.2644368700983506,0.0,1.0,0.0
CADPS2,0.0,0.5743937265593887,0.0,0.0,0.0
CD14,0.954701327686285,0.5541243434203914,1.0,1.0,0.0
CD84,0.7798887582623879,0.953084406033141,0.0,1.0,0.0
CHRNB1,0.5681894010538739,0.8179471752971179,0.0,1.0,0.0
CLMP,0.3423598792484581,0.1798395384340224,1.0,0.0,0.0
CLTC,0.2646320809751452,0.1900797260750146,0.0,0.0,0.0
CWC15,0.36886680440910996,0.0,0.0,0.0,0.0
DDIT3,0.6011533746161711,0.3630484669159768,0.0,1.0,0.0
DDX27,0.5557557964976034,0.33230137979475394,0.0,1.0,0.0
DLL1,0.8227752767495428,0.019167902588901938,0.0,1.0,0.0
DNASE1L1,0.3021670012377111,0.07885270888984323,0.0,0.0,0.0
FAAH,0.2683279464478503,0.5562451884172027,0.0,0.0,0.0
FAM111A,0.60557386999023,0.4275876569155406,0.0,1.0,0.0
FLII,0.4938571332822132,0.23118297666129073,0.0,0.0,0.0
HCK,1.0,0.7066056603332734,0.0,1.0,0.0
HMG20A,0.3301299003728721,1.0,0.0,0.0,0.0
IL4R,0.9204157010793348,0.13004190646053523,0.0,1.0,0.0
ITGA5,0.9534915533955337,0.21412631326912357,0.0,1.0,0.0
KIF21A,0.31643976508610727,0.0764574713083164,0.0,0.0,0.0
KLHL12,0.5562453825001206,0.14390610614877963,0.0,0.0,0.0
KMT5A,0.5689398061471477,0.8940329378683957,0.0,1.0,0.0
LIMS1,0.821173081915748,0.4308102680054662,0.0,1.0,0.0
LRP10,0.6837627738944763,0.13823749317671577,1.0,1.0,0.0
MAPKAPK3,0.7656987702660175,0.33197993337017745,1.0,1.0,0.0
ME3,0.27303507806932575,0.40698350208874334,0.0,0.0,0.0
NAP1L3,0.14204019787384725,0.5433868248411835,0.0,0.0,0.0
NKIRAS1,0.25335510963818736,0.3061298114836335,0.0,0.0,0.0
NTHL1,0.28121898584037996,0.42357088114816616,0.0,0.0,0.0
NTN4,0.20765854658377134,0.48170924685319816,0.0,0.0,0.0
PKN2,0.7066406013514455,0.005664378322578634,0.0,1.0,0.0
RNGTT,0.6511324552881923,0.02721459189265299,0.0,0.0,0.0
RPH3A,0.18717668724807401,0.19886164617496166,0.0,0.0,0.0
RPL36,0.5199618145654507,0.5208411363234946,0.0,1.0,0.0
RPS6KB1,0.5321432562064855,0.03330848525257807,1.0,0.0,0.0
RTN4IP1,0.30575265690276593,0.24441207432769652,0.0,0.0,0.0
RWDD2B,0.2316617952317147,0.6110162202161726,0.0,0.0,0.0
SAP30L,0.3906036887535018,0.45435649135273837,0.0,0.0,0.0
SBF2,0.5376322595163114,0.702316953458682,0.0,1.0,0.0
SERGEF,0.31275560560277293,0.48536173926199033,0.0,0.0,0.0
SH3BGRL2,0.5338685681216236,0.5571732562304718,0.0,0.0,0.0
SMARCD1,0.7853110440495891,0.030694258663373265,0.0,1.0,0.0
SNRPA,0.5127512210672336,0.028529021446094874,0.0,1.0,0.0
SP110,0.8400445701883584,0.3938635606765244,1.0,1.0,0.0
SUDS3,0.3612805846149947,0.08186869859203294,0.0,0.0,0.0
TDRKH,0.4380567216347394,0.35315041777723233,0.0,0.0,0.0
TSPAN31,0.7291631432803073,0.0315539857656046,0.0,1.0,0.0
TSPAN7,0.6401957011942838,0.07534415843728226,0.0,0.0,0.0
WSCD1,0.7145766191052596,0.31899293056887307,1.0,1.0,0.0
