gene,cluster_id
CRISPLD2,4
CRYAB,34
CRYM,144
CS,159
CSE1L,65
CSF1R,82
CSRP2,97
CTHRC1,119
CTPS1,126
CTSC,7
CTSH,97
CUBN,121
CUL1,103
CUL2,114
CUL3,158
CUTA,67
CWC15,106
CXCL16,93
CYBA,70
CYC1,16
CYGB,46
CYP2E1,145
CYP4F11,79
CYP4X1,84
DAB2,29
DAPK1,65
DBF4,26
DBI,2
DBT,89
DCAF12,92
DCBLD2,60
DCLK1,102
DCTN1,52
DCTN2,84
DCUN1D2,158
DDAH2,20
DDB1,114
DDIT3,150
DDIT4,4
DDX1,9
DDX24,156
DDX25,156
DDX27,165
DENND2A,80
DENND2C,78
DENND5A,179
DENR,122
DEPDC5,170
DEPP1,62
DGAT2,176
DHPS,76
DHRS3,47
DHRS7B,106
DHX30,23
DHX35,145
DHX38,107
DIPK1B,116
DIRAS1,104
DIRAS2,89
DKK3,114
DLAT,16
DLD,74
DLL1,151
DLL4,138
DMXL1,146
DMXL2,73
DNAAF2,103
DNAJA1,151
DNAJA2,100
DNAJA3,116
DNAJB1,43
DNAJB11,83
DNAJB4,41
DNAJC18,141
DNAJC27,24
DNASE1L1,104
DNM1,133
DNM1L,18
DOK1,88
DOP1A,16
DPP10,144
DPP6,100
DPP8,156
DPYSL3,-1
DRG1,116
DSE,54
DSP,119
DSTN,36
DTD1,30
DTNA,20
DTWD2,130
DTX2,88
DUSP18,21
DUSP3,137
DYNC1H1,12
DYNC1I1,143
DYNLRB1,-1
DYNLT1,42
DYNLT5,143
EBNA1BP2,115
ECI2,151
EEF1D,149
EFCAB14,5
EFR3A,84
EHD4,71
EID1,30
EID2B,89
EIF2AK1,38
EIF2S3,112
EIF3K,100
EIF3M,13
EIF4A2,94
EIF4B,126
ELF1,90
ELMOD1,135
ELOVL4,8
ELP2,56
ELP5,38
EMC1,152
EMC4,105
EMILIN1,34
EMILIN2,34
EMP1,43
EMP3,11
EMX2,58
EN2,78
ENO2,89
ENTPD6,159
EPB41L2,22
EPB41L3,156
EPC2,17
EPDR1,144
EPHX1,162
EPM2AIP1,30
EPS15,85
ERAP2,173
ERBB2,81
ERGIC1,51
ERICH1,15
ERLEC1,85
ERMARD,102
ERRFI1,1
ESRRG,133
ESYT1,28
ETNK2,122
EXOC2,106
EXOC3,57
EXOSC1,103
EXOSC2,106
EXOSC9,160
EXTL2,134
F3,10
FAAH,156
FAHD2B,89
FAIM2,30
FAM111A,90
FAM131B,35
FAM133A,46
FAM162A,68
FAM20C,67
FAM216A,46
FAM234B,144
FAM241B,132
FAM3C,133
FAM81A,168
FAR2,9
FARSA,98
FAT1,162
FAT4,81
FAU,174
FAXC,95
FBLN2,140
FBLN5,176
FBLN7,144
