Riker Engine — Stability Profiling Report
============================================================

Config: /home/kai001/riker-engine/disease_days/2026-04-28_asd_v033/blind_pc/config.yaml
Runs attempted: 50
Runs successful: 50
Total time: 18010.8s (300.2m)

Core gene counts across runs:
  Min: 410
  Max: 434
  Mean: 420.5
  Variance: ±12.0 genes (2.9%)

Unique genes seen: 457
  Iron-clad (>=90% of runs): 394
  Borderline (50-89%):       35
  Stochastic (<50%):         28

Iron-clad genes (394):
  MCL1: 50/50 (100%)
  MDFIC: 49/50 (98%)
  ME3: 50/50 (100%)
  MGST1: 50/50 (100%)
  MICU3: 50/50 (100%)
  MPP1: 50/50 (100%)
  MPZL1: 50/50 (100%)
  MRPL2: 49/50 (98%)
  MRPL22: 45/50 (90%)
  MSI2: 50/50 (100%)
  MSN: 50/50 (100%)
  MTMR7: 50/50 (100%)
  MTRES1: 48/50 (96%)
  N4BP2L1: 50/50 (100%)
  NAE1: 50/50 (100%)
  NAPB: 50/50 (100%)
  NARS1: 49/50 (98%)
  NCKIPSD: 50/50 (100%)
  NDEL1: 50/50 (100%)
  NDRG3: 48/50 (96%)
  NDRG4: 48/50 (96%)
  NDUFAF5: 50/50 (100%)
  NDUFB8: 50/50 (100%)
  NECAP2: 50/50 (100%)
  NEFH: 50/50 (100%)
  NET1: 50/50 (100%)
  NFE2L2: 50/50 (100%)
  NFKBIZ: 50/50 (100%)
  NFS1: 50/50 (100%)
  NGFR: 49/50 (98%)
  NIF3L1: 50/50 (100%)
  NME4: 50/50 (100%)
  NMNAT2: 50/50 (100%)
  NOMO1: 49/50 (98%)
  NPAS3: 50/50 (100%)
  NPTN: 48/50 (96%)
  NQO1: 50/50 (100%)
  NR3C2: 50/50 (100%)
  NSG1: 50/50 (100%)
  NTAQ1: 48/50 (96%)
  NTHL1: 50/50 (100%)
  NTN4: 50/50 (100%)
  OBI1: 50/50 (100%)
  OGDHL: 50/50 (100%)
  OLA1: 50/50 (100%)
  ORC2: 50/50 (100%)
  P3H2: 50/50 (100%)
  P4HA1: 50/50 (100%)
  PABPC4: 50/50 (100%)
  PALLD: 50/50 (100%)
  PARL: 48/50 (96%)
  PARN: 46/50 (92%)
  PARP14: 48/50 (96%)
  PARP2: 50/50 (100%)
  PARP9: 50/50 (100%)
  PDIA5: 50/50 (100%)
  PDIA6: 50/50 (100%)
  PDYN: 50/50 (100%)
  PFKM: 50/50 (100%)
  PFKP: 50/50 (100%)
  PIGZ: 49/50 (98%)
  PIK3AP1: 50/50 (100%)
  PIK3R4: 50/50 (100%)
  PIP4P2: 48/50 (96%)
  PITPNC1: 50/50 (100%)
  PLIN2: 50/50 (100%)
  PLOD1: 50/50 (100%)
  PLPP6: 48/50 (96%)
  PLXDC2: 49/50 (98%)
  PNP: 50/50 (100%)
  POMGNT2: 50/50 (100%)
  POU3F2: 50/50 (100%)
  PPP1R14B: 50/50 (100%)
  PPP3CA: 50/50 (100%)
  PRC1: 48/50 (96%)
  PRKCE: 50/50 (100%)
