Riker Engine — Stability Profiling Report
============================================================

Config: /home/kai001/riker-engine/disease_days/2026-04-29_ipf_v0332/blind_pc/config.yaml
Runs attempted: 50
Runs successful: 50
Total time: 33272.5s (554.5m)

Core gene counts across runs:
  Min: 2416
  Max: 2471
  Mean: 2442.6
  Variance: ±27.5 genes (1.1%)

Unique genes seen: 2545
  Iron-clad (>=90% of runs): 2309
  Borderline (50-89%):       180
  Stochastic (<50%):         56

Iron-clad genes (2309):
  ATOH8: 50/50 (100%)
  ATP11C: 49/50 (98%)
  ATP13A4: 50/50 (100%)
  ATP1A1: 50/50 (100%)
  ATP1B1: 50/50 (100%)
  ATP1B2: 50/50 (100%)
  ATP2A2: 50/50 (100%)
  ATP2B1: 50/50 (100%)
  ATP2C2: 50/50 (100%)
  ATP6AP1: 50/50 (100%)
  ATP6V1E1: 49/50 (98%)
  ATP8B4: 50/50 (100%)
  ATP9A: 50/50 (100%)
  ATXN1: 50/50 (100%)
  AURKA: 50/50 (100%)
  AVPR1A: 50/50 (100%)
  B3GALNT1: 50/50 (100%)
  B3GALNT2: 50/50 (100%)
  B3GAT3: 50/50 (100%)
  B3GNT3: 50/50 (100%)
  B3GNT7: 50/50 (100%)
  BAAT: 50/50 (100%)
  BACE2: 50/50 (100%)
  BAG6: 50/50 (100%)
  BAIAP2: 50/50 (100%)
  BBOX1: 50/50 (100%)
  BBS1: 50/50 (100%)
  BBS2: 50/50 (100%)
  BBS5: 50/50 (100%)
  BBS9: 50/50 (100%)
  BCAP29: 50/50 (100%)
  BCAS1: 50/50 (100%)
  BCAS3: 50/50 (100%)
  BCAT2: 50/50 (100%)
  BCHE: 50/50 (100%)
  BCKDHA: 50/50 (100%)
  BCL6: 50/50 (100%)
  BDKRB2: 46/50 (92%)
  BEAN1: 50/50 (100%)
  BEND5: 50/50 (100%)
  BEST4: 50/50 (100%)
  BFAR: 50/50 (100%)
  BHLHE22: 49/50 (98%)
  BHLHE41: 49/50 (98%)
  BICC1: 49/50 (98%)
  BIRC3: 50/50 (100%)
  BLID: 50/50 (100%)
  BLK: 48/50 (96%)
  BLNK: 50/50 (100%)
  BLVRB: 50/50 (100%)
  BMAL1: 50/50 (100%)
  BMAL2: 50/50 (100%)
  BMP2K: 50/50 (100%)
  BMP4: 50/50 (100%)
  BMX: 50/50 (100%)
  BNC2: 49/50 (98%)
  BNIP3: 50/50 (100%)
  BOC: 50/50 (100%)
  BPHL: 46/50 (92%)
  BRINP3: 50/50 (100%)
  BTC: 50/50 (100%)
  BTLA: 45/50 (90%)
  BTN3A3: 48/50 (96%)
  BTNL8: 50/50 (100%)
  BTNL9: 50/50 (100%)
  BUB1B: 50/50 (100%)
  C11orf96: 50/50 (100%)
  C12orf75: 50/50 (100%)
  C16orf89: 49/50 (98%)
  C1QTNF2: 47/50 (94%)
  C1QTNF6: 50/50 (100%)
  C1orf162: 50/50 (100%)
  C1orf21: 46/50 (92%)
  C1orf210: 50/50 (100%)
  C1orf54: 50/50 (100%)
  C2: 50/50 (100%)
  C2CD3: 50/50 (100%)
  C4B_2: 50/50 (100%)
  C5orf15: 50/50 (100%)
  C6orf132: 50/50 (100%)
  C6orf141: 50/50 (100%)
  C8orf34: 50/50 (100%)
  CA11: 49/50 (98%)
  CA2: 50/50 (100%)
  CA4: 50/50 (100%)
  CACHD1: 50/50 (100%)
  CACNA1C: 50/50 (100%)
  CACNA1H: 50/50 (100%)
  CACNA2D2: 50/50 (100%)
  CACNA2D3: 50/50 (100%)
  CACNB1: 50/50 (100%)
  CACNB3: 50/50 (100%)
  CACNB4: 50/50 (100%)
  CADM3: 50/50 (100%)
  CALCOCO1: 50/50 (100%)
  CALCOCO2: 50/50 (100%)
  CALM2: 50/50 (100%)
  CALML4: 50/50 (100%)
  CAMK1D: 50/50 (100%)
  CAMSAP3: 50/50 (100%)
  CAP2: 50/50 (100%)
  CAPN13: 50/50 (100%)
  CAPN5: 49/50 (98%)
  CAPN6: 50/50 (100%)
  CARD11: 50/50 (100%)
  CARD6: 50/50 (100%)
  CARMIL1: 50/50 (100%)
  CASKIN2: 50/50 (100%)
  CASP3: 50/50 (100%)
  CATSPERB: 50/50 (100%)
  CAV1: 50/50 (100%)
  CAVIN2: 50/50 (100%)
  CBLN4: 50/50 (100%)
  CCBE1: 50/50 (100%)
  CCDC125: 50/50 (100%)
  CCDC146: 50/50 (100%)
  CCDC191: 50/50 (100%)
  CCDC3: 50/50 (100%)
  CCDC60: 50/50 (100%)
  CCDC69: 48/50 (96%)
  CCDC80: 50/50 (100%)
  CCDC85A: 50/50 (100%)
  CCDC88C: 50/50 (100%)
  CCL11: 50/50 (100%)
  CCL19: 50/50 (100%)
  CCL21: 49/50 (98%)
  CCL23: 50/50 (100%)
  CCL24: 50/50 (100%)
  CCL5: 50/50 (100%)
  CCL8: 50/50 (100%)
  CCM2L: 50/50 (100%)
  CCN1: 50/50 (100%)
  CCNB1: 50/50 (100%)
  CCNB2: 50/50 (100%)
  CCND1: 49/50 (98%)
  CCND2: 50/50 (100%)
  CCND3: 50/50 (100%)
  CCNJL: 50/50 (100%)
  CCNL1: 50/50 (100%)
  CCNQ: 50/50 (100%)
  CCNYL1: 50/50 (100%)
  CCR5: 50/50 (100%)
  CCR6: 49/50 (98%)
  CCR7: 50/50 (100%)
  CD163: 50/50 (100%)
  CD163L1: 50/50 (100%)
  CD177: 50/50 (100%)
  CD180: 50/50 (100%)
  CD19: 49/50 (98%)
  CD1A: 50/50 (100%)
  CD1B: 50/50 (100%)
  CD1C: 50/50 (100%)
  CD1E: 50/50 (100%)
  CD2: 50/50 (100%)
  CD200: 49/50 (98%)
  CD200R1: 50/50 (100%)
  CD207: 50/50 (100%)
