cluster_id,n_iron_clad_members,members,min_modal_count,max_modal_count,mean_modal_count
74,14,EPB41L5|FOXF1|GATA2|GGTLC1|HEY1|LPL|MUCL3|PER1|PREX1|RHOBTB2|SH2D3C|SLC27A3|STARD8|SYT15,3,3,3.0
76,15,ATP8B4|CCDC88C|EOMES|EPHX3|FREM3|HLA-DRA|HPS3|JAG2|LHX6|LIMK1|SAMD3|SH3PXD2A|SLC52A1|TRMT13|TSKU,2,2,2.0
77,6,ASB13|BAG6|CSRNP3|DYNLL1|HDAC6|LRIG3,2,2,2.0
78,1,CAPN5,2,2,2.0
79,16,CFL2|CITED2|CPE|CRISPLD2|ELMO1|GALNT1|GLB1L|GPX7|ITGA7|MACROD2|NTS|SRXN1|STEAP3|TSPYL4|WASF3|ZNF423,2,2,2.0
80,5,B3GAT3|CEBPA|DHX58|NOS1|ZBED11,3,3,3.0
81,4,CD209|SIRAL2|TOX3|VAT1L,1,1,1.0
82,8,CHID1|DTX3|EFNA5|EMB|FAM3D|HILPDA|NUSAP1|RFK,2,2,2.0
84,9,ADGRL2|ARHGEF26|DUSP1|ERRFI1|GALNT18|LAMA3|NOTCH4|TBX3|TLR2,2,2,2.0
85,9,BAAT|CD200|CFAP69|GJB2|GNAL|LGR4|PDLIM3|PGM5|PROM2,2,2,2.0
86,5,ACKR5|AP5M1|HPS5|MCUR1|SACK1H,2,2,2.0
88,1,LTBP3,2,2,2.0
89,5,ANKRD36|GABRP|KRT14|SEMA3C|SLC45A3,2,2,2.0
90,40,ALG13|CARD6|CETN2|CHCHD7|CLPTM1L|CLU|COL18A1|DGKD|DOCK5|EDEM1|ENAH|FAT1|FCHO2|FDFT1|FOSL2|INPP1|ITGA9|JDP2|KLHL2|LMTK2|MTSS1|OSBPL3|PGS1|PLCB2|PLCXD3|PPP1R15B|RALGAPA2|SELENOK|SERPINF2|SLC35F2|SLC3A2|SLC4A4|STARD3NL|SYT8|TBCE|TJP2|TMEM203|TTC39C|VWA5A|ZNF436,2,3,2.1
91,6,FAM20C|HIBCH|PBK|PLOD2|SPNS1|ZNF831,2,2,2.0
92,4,FCER1A|MDK|ST6GALNAC1|TSPAN11,2,2,2.0
94,5,CAPN13|EFHC2|ITGB8|MOXD1|PDLIM4,2,2,2.0
95,10,CD4|DUOX1|EBP|GJA4|IL6R|KDR|NDNF|TM7SF3|TMEM41B|TRPC3,2,2,2.0
97,3,CPT1C|MAST2|ZNF428,2,2,2.0
99,6,HIBADH|ITGAV|MTMR11|PDE3A|SPATS2L|WLS,2,2,2.0
100,3,DYRK2|FUCA1|MEX3B,2,2,2.0
101,4,ABHD10|BUB1B|CLEC2D|ZSCAN26,2,2,2.0
104,6,CCDC191|CFI|PTGDS|SORD|SULF2|TSGA10,2,2,2.0
107,7,DOCK9|HPCAL1|MAP2|MSMO1|PDZD2|VGLL3|WWC2,2,2,2.0
108,4,B3GNT3|BMAL2|CD3G|SMOC2,2,2,2.0
110,4,BCAS3|DUSP14|EAF2|SLMAP,2,2,2.0
111,5,ATP9A|CEP43|HSPB1|MTTP|RCAN3,2,2,2.0
113,9,AMPD2|CACNB4|CLOCK|DUOXA2|PALS2|PARD3|ROCK2|SETD4|SOAT1,2,3,2.4
114,8,AGPAT2|FHOD1|HPN|LPCAT3|MFNG|QDPR|RENBP|TNS3,2,2,2.0
115,9,C5orf15|GALNT7|GAS6|NBPF1|PIBF1|SPDEF|TRADD|ZNF550|ZRANB2,2,2,2.0
116,1,PTDSS1,2,2,2.0
118,14,APOBEC3G|CFB|CNIH3|CST1|DBP|FSCN1|LAT|MOSPD1|OAF|PHLDA3|RCBTB2|RGS4|RIPK4|TGFBI,2,2,2.0
120,5,BCAP29|RAP1GAP|SLC39A1|SULT1C4|ZNF792,2,2,2.0
121,1,PPM1L,1,1,1.0
122,15,APH1A|ARID5A|CAV1|DGAT1|DNPEP|MYO15B|MYO9B|NBEAL2|POR|PSMC5|PTGS2|SMIM3|SOX7|VAT1|ZNF717,1,3,2.2
123,9,ADAMTSL4|ATP2A2|BBS2|CREB3L2|ERN1|MYC|POLK|RFX5|THBS3,2,2,2.0
127,5,CCR7|CSPG4|GCNT3|KRT23|LCN2,1,2,1.2
129,5,DPT|GRK3|ICOS|PHLDB3|VWA1,2,2,2.0
131,4,FCMR|HNMT|OAT|SPOCK2,2,3,2.2
132,1,NEBL,2,2,2.0
133,6,BBOX1|CHD3|CLSTN1|GGT6|TDP1|TMEM107,2,2,2.0
134,6,ACADL|CCDC85A|CRTAC1|CTH|HSD17B6|SLC39A8,2,2,2.0
135,5,EDNRB|GPIHBP1|PRX|PTPRB|ST6GALNAC3,2,2,2.0
136,12,AFF3|CHST6|FCRL5|GPX3|HHIP|PIM2|RNASE2|S100A8|SACK1D|SERPINA3|THBS2|ZNF385B,2,3,2.4
137,15,CDH2|CPB2|FAM107A|GDF15|IL18R1|MZB1|PEBP4|PGC|PNMT|SDR16C5|SLC27A2|SYNPO2|TIMP4|TTN|ZBTB16,2,3,2.3
139,5,ABCA3|ALKAL2|FASN|NPR1|PAPSS2,3,3,3.0
140,22,ACSL1|AGER|ALOX15B|ARHGAP6|BTNL8|CACNA2D2|CD163|CD274|CDH13|CLDN18|CSF3R|F2RL3|GPR4|ID1|MAOA|MT1X|OLAH|S1PR1|SCN7A|SLC1A1|SLCO2A1|TAMALIN,2,3,2.5
141,13,ABCB6|ADRB1|AKR1C3|ALOX5AP|CA2|CYP51A1|GGTLC2|GPM6B|HSPA12B|MT1A|PMM1|SRPX2|TNNT2,2,2,2.0
142,21,ABCC4|ADPRH|AP5B1|CD177|DLC1|GADD45G|GKN2|LYVE1|MIDEAS|MT1H|MYL12A|MYLIP|NAPA|NSDHL|PIK3C2A|PSMA6|RAB20|SRGAP2|TJP1|TMEM164|TMT1A,2,3,2.2
143,12,CCNYL1|CNNM2|DGKG|HDAC9|NPNT|P2RY10|RAPH1|RBM24|SC5D|SMARCA1|TMEM182|TSPAN7,2,2,2.0
145,5,CORO6|EMP2|HYAL2|RNF182|SLC19A3,2,2,2.0
146,4,LAMC3|MYRF|PCSK9|PIGA,2,2,2.0
151,5,CCNL1|COL4A4|H2BC5|PPARG|SOSTDC1,2,2,2.0
152,9,CIMAP1B|DDIT4L|DEPDC7|EGR2|FMO3|RRM2|SLC8A1|SLC9A7|WDR5B,2,2,2.0
154,16,ADAMTS16|ALOX15|ARMH4|ATP1B2|CCL11|CD79A|CERCAM|DES|FDCSP|FUT8|GREM1|IFTAP|LUM|MMP16|TBC1D32|ZDHHC13,2,2,2.0
157,8,B3GNT7|CLPP|GHITM|ITGA5|LURAP1L|MMUT|PLEKHM1|TMEM87A,2,2,2.0
158,5,CFHR1|FERMT1|GOLM1|SPRR1A|WNT10A,2,2,2.0
159,3,BTLA|HIVEP2|RRAD,2,2,2.0
160,5,NRGN|NUP58|SLC7A7|SMAD7|WWC3,2,2,2.0
162,9,ACAT1|DMAC2|DNM2|FGD4|FZD8|HEYL|PPFIBP1|RIN2|TPST2,2,2,2.0
164,4,ABTB3|IFFO2|KPNA5|TRAF1,2,2,2.0
165,10,ARHGAP1|CDH19|DNMBP|LRRK1|MATN3|MS4A15|PIK3CG|RAPGEF5|RXFP1|TMEM216,2,2,2.0
167,11,BMX|IFNGR1|LAMA2|PFKFB2|PLAG1|SASH1|SOX17|SPOCK1|SPRY4|VSIG10|ZC3H12C,2,2,2.0
168,3,CXCL2|IL6|ZBED2,2,2,2.0
169,4,CCL21|CD19|KLK7|PLK2,2,2,2.0
170,7,CCR5|GPNMB|ISLR|SCUBE2|TMED3|TMEM35A|TPBG,2,2,2.0
173,9,ACTN4|CHTF8|HPS6|PTH1R|RGCC|SCNN1A|SLC75A1|SNX27|ZNF331,2,3,2.4
176,13,AASS|ATP2C2|CAVIN2|DCXR|FAM167A|FUT1|LDLR|PITHD1|SRPX|TAOK3|TDRD9|TIMP3|TST,2,2,2.0
177,14,ANKMY2|CD180|DENND3|DUSP2|ENTPD7|FBXL13|FBXL2|IFNG|IRAK3|MAP3K13|MCCC1|MYOM1|PHACTR3|TXNRD1,2,2,2.0
178,6,IFT25|IFT43|JPT2|MACROH2A2|TRANK1|VANGL1,2,2,2.0
179,4,LRRN3|NFKBIZ|OLFML2A|SRGAP2C,2,2,2.0
180,2,DAPK2|HOPX,2,2,2.0
182,1,FHL2,2,2,2.0
183,9,ABCC3|ALDH3A1|ASB2|GALNT6|HPGDS|MEOX1|RHOV|SLC4A11|TOP6BL,2,2,2.0
184,19,ACOX2|ARHGAP31|BBS5|DENND2B|DPYSL3|EFNB1|EGFL6|GEN1|KCNN3|NAP1L3|PDE7B|PGM2L1|POLR3H|PPFIA2|RPGRIP1L|SCARA3|SEL1L3|SORT1|TMEM106C,2,2,2.0
185,11,CLMN|CYP27C1|ERN2|GFRA1|GPR155|LMLN|SERPINB13|TMTC3|VWDE|WNT5A|ZNF154,2,2,2.0
187,23,AGTRAP|CIB1|CTSF|CXCL17|DAGLB|FXYD5|GBGT1|GM2A|GRINA|GSKIP|ITPK1|LSM6|LY6E|MCOLN1|MTHFR|NLRC4|PRCP|RNH1|RPS6KA1|SPINK5|TREM2|TSPAN33|ZNF17,2,3,2.2
188,10,BHLHE41|CTSG|GORAB|MLEC|MTX2|PDLIM7|PKIB|ROR2|TP53|UCP2,2,2,2.0
195,2,MS4A1|SACS,2,2,2.0
196,21,ADH1B|CD300LG|CFLAR|CPED1|EFNB2|F3|FAH|FSTL3|GPD1L|KL|LGI3|LOXL2|LYPD5|NUF2|PCSK1N|PLAAT3|RGN|SLC22A3|SLC68A1|TNFRSF9|TSPAN5,2,2,2.0
197,9,ANKS1A|FADS3|MID1IP1|PLIN2|RAB17|SEC11C|SH2D1A|SMARCC1|ZNF366,2,2,2.0
198,3,C6orf132|CYFIP2|THADA,2,2,2.0
203,12,CALM2|CASP3|GCNT1|GFRA3|KSR1|PAQR8|SEPTIN9|SLC38A9|SPICE1|SUB1|ZMIZ2|ZNF518A,2,2,2.0
204,9,AMPD3|CD248|KCND3|MARCKSL1|MTA1|TENM4|TIMD4|TRAF3IP3|TRIM32,2,2,2.0
205,10,ADGRG3|ADRA1B|CSRNP1|CYP3A5|GLDN|NDRG4|P2RY1|STXBP6|VNN1|VNN2,2,2,2.0
206,3,ELAPOR2|FHDC1|RIDA,2,2,2.0
208,4,EYA2|GXYLT2|PLPP2|TGFB3,2,2,2.0
210,16,ADGRA3|ARHGEF10|B3GALNT1|BIRC3|BLK|CTNNBIP1|EYA4|FADS1|GALNT16|HSPB3|RAB3C|RGS1|SCN1A|THNSL1|ZNF573|ZNF607,2,2,2.0
211,1,UBA1,2,2,2.0
212,10,ADHFE1|ALDH1A3|CLDN1|IGK|LAMP5|LRRC17|OLFM4|PLA2G3|SFRP4|TMPRSS4,1,2,1.3
214,20,ARSJ|CD3E|CLDN10|GPM6A|HGF|HMMR|HS3ST3A1|IP6K3|ITGA10|LGMN|MMP2|MMP25|MPP3|RPS6KA2|SMPD3|TEK|TMC5|ZNF184|ZNF462|ZNF594,2,2,2.0
218,10,EVL|FANCE|HS3ST1|MLX|PLA2G4A|PTPN12|SERPINE2|SLC25A5|SNX22|TLR7,2,2,2.0
220,11,ANKRD18A|APOBEC3C|DDB2|DZIP1|ENPP3|LOXL4|OCIAD2|PPP2R2B|RAB23|SELENOW|TCTN1,3,3,3.0
227,5,CACNA1H|EFNA1|PPP2R5A|TSPYL2|VAMP5,1,1,1.0
229,15,ASCC3|CCL24|CNIH4|EXOC3L1|GTPBP6|MIER2|MTMR4|NLGN4Y|PLXNB2|PPIP5K1|RRM2B|SERPING1|SLC28A3|STAMBPL1|STK39,2,2,2.0
230,8,ALDH5A1|AMZ2|BPHL|CDKN3|COMMD6|TBL1XR1|ZNF84|ZNF853,2,2,2.0
231,5,ADAMTS18|DDR1|LIME1|SERPINF1|ST6GAL2,2,2,2.0
232,7,DUSP4|FCGRT|HPR|HSH2D|RHPN2|ROGDI|ZNF248,2,2,2.0
