gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
HSPA4L,0.6512024854498728,1.0,1.0,1.0,0.0
ID1,0.3292729887020021,1.0,1.0,1.0,0.0
IFNG,0.5427427960612795,0.25092831476254884,0.0,0.33333333333333326,0.0
IGF1,0.6689350446199186,0.6824946627820742,0.0,1.0,0.0
IGFL2,0.6106546360520528,0.5856559216052334,1.0,1.0,0.0
IL10,0.4061249484674539,0.507671052179783,0.0,0.33333333333333326,0.0
IL13RA2,0.8328455706744111,1.0,1.0,1.0,0.0
IL18R1,0.2274995974102684,1.0,1.0,1.0,0.0
IL18RAP,0.19428338124102923,1.0,1.0,1.0,0.0
IL1R2,0.0,1.0,1.0,1.0,0.0
IL1RL1,0.1402037966910999,1.0,1.0,1.0,0.0
IL1RN,0.6296084396169792,0.5310796553670134,0.0,1.0,0.0
IL33,0.6427177035605821,1.0,1.0,1.0,0.0
IL6,0.1990905794481425,0.1736012284993322,0.0,0.33333333333333326,0.0
INMT,0.3204524201216618,0.20558905014908008,0.0,1.0,0.0
ITGA11,0.558768515791263,1.0,0.0,0.33333333333333326,0.0
ITGA3,0.4935636128983524,0.23634977286027717,0.0,0.33333333333333326,0.0
ITGA5,0.43025377999789527,0.8897348207409623,0.0,1.0,0.0
ITGAV,0.5618659716846687,1.0,1.0,1.0,0.0
ITGB8,0.6609058609790748,1.0,1.0,1.0,0.0
IVD,0.4417309594795063,0.28793101297017476,0.0,0.33333333333333326,0.0
JAG2,0.5699311493661395,0.3036447106294399,0.0,1.0,0.0
KDR,0.3893070456861595,1.0,1.0,1.0,0.0
KRT14,0.6024725784554922,1.0,1.0,1.0,0.0
KRT15,0.7663381998918652,1.0,1.0,1.0,0.0
KRT17,0.7907093160145799,1.0,1.0,1.0,0.0
KRT19,0.5861408934147874,0.16419088437109458,0.0,1.0,0.0
KRT5,0.8352928202941322,1.0,1.0,1.0,0.0
LAMA3,0.3384922994848806,1.0,0.0,1.0,0.0
LAMC2,0.5426490964792062,0.21937911204919197,0.0,1.0,0.0
LEF1,0.6033538779208174,1.0,0.0,1.0,0.0
LIN7A,0.38220414892461463,1.0,1.0,1.0,0.0
LOXL2,0.5678835732273609,0.6116879425601184,0.0,1.0,0.0
LPL,0.34740071825783775,1.0,0.0,1.0,0.0
LRRC17,0.7454283367123687,1.0,1.0,1.0,0.0
LRRC32,0.345265781045603,1.0,1.0,1.0,0.0
LRRC46,0.7673275789231347,1.0,0.0,1.0,0.0
LRRN1,0.7285083741123027,1.0,1.0,1.0,0.0
LTBP1,0.653335122033671,1.0,1.0,1.0,0.0
LUM,0.6609875798541945,1.0,0.0,1.0,0.0
MAFK,0.43798947818747996,1.0,0.0,1.0,0.0
MARCKS,0.540909275842202,0.2027913511268952,0.0,0.33333333333333326,0.0
MGAM,0.19961796043730162,1.0,1.0,1.0,0.0
MME,0.31854440927825084,1.0,0.0,1.0,0.0
MMP1,0.9834529766011886,1.0,1.0,1.0,0.0
MMP10,0.7162362638449621,1.0,1.0,1.0,0.0
MMP13,0.6703749539568437,1.0,1.0,1.0,0.0
MMP2,0.5860559784110224,0.696068490930796,0.0,1.0,0.0
MMP3,0.5898170090764417,0.9719985509477708,0.0,1.0,0.0
MMP7,1.0,1.0,1.0,1.0,0.0
MMP8,0.32913504222773043,0.2665751804788586,0.0,1.0,0.0
MNS1,0.6864010916059633,1.0,1.0,1.0,0.0
MS4A2,0.7076584793054472,1.0,1.0,1.0,0.0
MSMB,0.8135399563761675,1.0,1.0,1.0,0.0
MUC5B,0.7247925719481078,1.0,1.0,1.0,0.0
MXRA5,0.7239379232383959,1.0,1.0,1.0,0.0
NEK11,0.6083082754944967,1.0,1.0,1.0,0.0
NELL2,0.6882690837969281,1.0,1.0,1.0,0.0
NLRP3,0.3360606905377159,0.169846532637187,0.0,0.33333333333333326,0.0
NOTCH1,0.4396583702204609,1.0,0.0,1.0,0.0
NPR1,0.31663170468325647,1.0,1.0,1.0,0.0
OGN,0.6821119183966289,1.0,1.0,1.0,0.0
P2RY1,0.2711655514000964,1.0,0.0,1.0,0.0
PAPSS2,0.3153521315404415,1.0,1.0,1.0,0.0
PDGFRA,0.3198957884319655,1.0,1.0,1.0,0.0
PEBP4,0.24916181402687437,1.0,1.0,1.0,0.0
PECAM1,0.43168175243843343,1.0,0.0,1.0,0.0
PGC,0.23568950720557036,1.0,1.0,1.0,0.0
PLA2G1B,0.1953592230356805,1.0,1.0,1.0,0.0
PLA2G4F,0.31731641415523576,1.0,0.0,1.0,0.0
PLLP,0.3185411844894965,1.0,1.0,1.0,0.0
PLOD2,0.5682963476329306,0.31595247421632366,0.0,0.33333333333333326,0.0
POSTN,0.7310779265874677,1.0,0.0,1.0,0.0
PPP1R14A,0.3850122968104955,1.0,0.0,1.0,0.0
PROK2,0.17989785195748265,1.0,0.0,1.0,0.0
PRSS12,0.6958079499935338,1.0,1.0,1.0,0.0
PSD3,0.6730744905661097,1.0,1.0,1.0,0.0
PTPRB,0.2939694788603039,1.0,1.0,1.0,0.0
RRM2,0.5908280453384853,0.4897589303271041,0.0,1.0,0.0
S100A12,0.09891902912205429,1.0,1.0,1.0,0.0
S100A8,0.2567713715805985,1.0,1.0,1.0,0.0
S100A9,0.3119556500797676,1.0,1.0,1.0,0.0
SACK1D,0.691743104828526,1.0,0.0,1.0,0.0
SCN7A,0.31307852943583564,0.963251173811503,1.0,1.0,0.0
SERPINB3,0.7519028395950921,0.9431739511768389,0.0,1.0,0.0
SERPIND1,0.7822144793230191,1.0,1.0,1.0,0.0
SERPINE1,0.2906313879734774,0.5236148061942094,0.0,0.33333333333333326,0.0
SERPINI2,0.6293507113651939,1.0,1.0,1.0,0.0
SFRP2,0.9701595361232094,1.0,1.0,1.0,0.0
SFRP4,0.7435370252443984,1.0,1.0,1.0,0.0
SFTPA2,0.41007504209264606,0.8170083074451011,0.0,1.0,0.0
SFTPC,0.44239928427035535,0.415145195140119,0.0,1.0,0.0
SFTPD,0.41105589081419897,1.0,0.0,1.0,0.0
