gene,cluster_id,max_level_survived,mean_log2fc_sig,direction
THBS2,21,4,1.4393263819327728,up
TSPAN1,21,4,1.5541640193277324,up
ADAM17,22,4,-0.3868764121848744,down
CA2,22,4,-1.152340903781511,down
ITGA5,22,4,-0.4443194373949583,down
SFTPA2,22,4,-0.5829970084033599,down
TNNC1,22,4,-0.9680891193277315,down
AKAP13,23,4,-0.42662213907562885,down
CDH5,23,4,-0.7767756600840332,down
PECAM1,23,4,-0.434505753781512,down
PPP1R14A,23,4,-0.7552397252100831,down
HGF,24,4,0.6346821865546219,up
IGF1,24,4,1.1960080289915973,up
LOXL2,24,4,0.5015358243697472,up
MMP2,24,4,0.626424953813026,up
CDH3,25,4,1.9314253226321192,up
COL15A1,25,4,1.9303192423711482,up
COMP,25,4,2.0458511309915965,up
DIO2,25,4,1.886462047774976,up
FNDC1,25,4,1.9971738545214759,up
KRT15,25,4,1.8654073266629323,up
KRT17,25,4,2.0328968496713355,up
SERPIND1,25,4,1.9745164235004664,up
SLAMF7,25,4,1.8390785961022411,up
SULF1,25,4,1.8552756732086841,up
THY1,25,4,1.9389522460662931,up
TP63,25,4,1.9856203146605973,up
COL1A1,28,4,1.8007004759850602,up
GPR87,28,4,1.7539726144929972,up
GSTA1,28,4,1.7831189192035481,up
VCAM1,28,4,1.7699759648842204,up
CLDN1,29,4,1.706925831428104,up
LRRC17,29,4,1.7217051263832868,up
SFRP4,29,4,1.708707163793652,up
TMPRSS4,29,4,1.7301995022577028,up
