gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
ADAP2,3,3,0.810874537025375,0.810874537025375,True
AKR1B1,3,2,0.2039366502441385,-0.20259247823299154,True
ANXA6,3,2,-0.2098113359805088,-0.5644420376634862,True
ARHGAP30,3,2,0.7176410910413441,1.0368275628370163,True
ATP1A1,3,2,-0.309459256297103,-0.666187516996307,True
C6orf120,3,2,-0.09737718308373229,-0.2513930296473239,True
CCDC25,3,2,0.030463513065308295,-0.3974587871347999,True
CMC1,3,2,-0.13150920209843905,-0.2564425005253925,True
COQ6,3,2,0.22799511741647382,-0.21533781161079224,True
CUL1,3,2,0.04279594372932394,-0.14160718754265256,True
CYGB,3,2,-0.04191786694088003,-0.3208628686588342,True
DUSP3,3,2,0.17687285677950695,0.3199929269737489,False
EBNA1BP2,3,3,0.15045877293729001,0.15045877293729001,False
EIF3K,3,2,0.06686007355778815,-0.2101343631755963,True
ELF1,3,2,0.5847911392275088,0.42760121786407723,True
FBLN2,3,2,0.4511743750867569,0.6891014275764107,True
GAR1,3,2,0.48822544640712867,0.3546425732547984,True
HAPSTR1,3,2,0.5081054635351375,0.7426128371809102,True
KATNAL1,3,2,0.27170257823411365,0.44939570900501646,False
LILRA4,2,2,0.20126281226121678,0.20126281226121678,True
LPCAT4,3,2,-0.08674649331465704,-0.36102882400716485,True
LRRN3,3,2,-0.05902297632191811,-0.4523875794478336,True
MANSC1,3,2,-0.06791818783225405,-0.35667494444612924,True
MAP7D2,3,2,-0.19238689860648073,-0.5581962377208276,True
METTL2A,3,2,0.13548672792216335,0.25705172755092676,True
MRPL15,3,2,0.04071458846213553,-0.33786915273281326,True
NUP93,3,2,0.08872713764479793,-0.1755183972450869,True
ORC5,3,2,0.02214560565090462,-0.260355397093305,True
PFDN4,3,2,0.012585859809888689,-0.34152020222451096,True
PGGHG,2,2,0.9085196597405414,0.9085196597405414,True
PNMA2,3,2,0.10986542141366999,0.2967415782999918,False
PPP3CA,3,2,-0.011051797295164553,-0.5174357198741291,True
PSEN2,3,2,-0.006919838312675471,-0.28861838294551223,True
PTPN4,3,2,-0.0025047462759264505,-0.34905979522494146,True
RPIA,3,2,0.34180671411134456,0.49279247330259446,True
RPL35,3,2,0.2682037946122164,0.13492556323648763,True
SAMD9L,2,2,1.0721889745882978,1.0721889745882978,True
SCAMP5,3,2,-0.05738363382123287,-0.32709936268067086,True
SCARA3,3,2,0.6944593844327711,0.614201774969247,True
SH3PXD2B,3,2,0.45513304469473354,0.6473541244866516,True
SLC35A1,3,2,0.26103735645052345,0.43089137624309237,False
SNX14,3,2,0.1657591540444742,-0.27415390903181835,True
SPINT2,3,2,-0.06274463030483624,-0.4313405164238189,True
SUPV3L1,3,2,0.08577384644632129,-0.17728090669827345,True
TAP1,3,2,0.8575093267481027,0.948145971479204,True
TLR1,2,2,0.5706389675034658,0.5706389675034658,True
TMEM62,3,2,-0.024438215957014897,-0.2898851813970018,True
TRIM56,2,2,0.9597351006268648,0.9597351006268648,True
TRMT11,3,2,0.1361634246806688,-0.3335735021557018,True
YEATS4,3,2,-0.14154426731528727,-0.6088790692713949,True
