gene,cluster_id,status,discovery_direction,n_brain_concordant,n_brain_discordant,n_blood_concordant,reason
PLCG1,15,survived,up,0,0,0,No brain replication datasets; retained by default.
PTCH1,15,survived,down,0,0,0,No brain replication datasets; retained by default.
CD34,16,survived,down,0,0,0,No brain replication datasets; retained by default.
FGFR1,16,survived,down,0,0,0,No brain replication datasets; retained by default.
MITF,16,survived,down,0,0,0,No brain replication datasets; retained by default.
PTPN11,16,survived,down,0,0,0,No brain replication datasets; retained by default.
TCF7L2,16,survived,down,0,0,0,No brain replication datasets; retained by default.
TTC28,16,survived,down,0,0,0,No brain replication datasets; retained by default.
TXNIP,16,survived,down,0,0,0,No brain replication datasets; retained by default.
UTRN,16,survived,down,0,0,0,No brain replication datasets; retained by default.
CACNA2D1,17,survived,down,0,0,0,No brain replication datasets; retained by default.
CAVIN1,17,survived,down,0,0,0,No brain replication datasets; retained by default.
HLF,17,survived,down,0,0,0,No brain replication datasets; retained by default.
ITGA1,17,survived,down,0,0,0,No brain replication datasets; retained by default.
TGFBR2,17,survived,down,0,0,0,No brain replication datasets; retained by default.
TYRO3,17,survived,down,0,0,0,No brain replication datasets; retained by default.
BANP,18,survived,up,0,0,0,No brain replication datasets; retained by default.
DUSP4,18,survived,up,0,0,0,No brain replication datasets; retained by default.
ESR1,18,survived,up,0,0,0,No brain replication datasets; retained by default.
RNF115,18,survived,up,0,0,0,No brain replication datasets; retained by default.
TENT5C,18,survived,up,0,0,0,No brain replication datasets; retained by default.
BCAR1,19,survived,up,0,0,0,No brain replication datasets; retained by default.
CHD1,19,survived,up,0,0,0,No brain replication datasets; retained by default.
TRAP1,19,survived,up,0,0,0,No brain replication datasets; retained by default.
BCKDHB,20,survived,down,0,0,0,No brain replication datasets; retained by default.
CPXM2,20,survived,down,0,0,0,No brain replication datasets; retained by default.
CYBRD1,20,survived,down,0,0,0,No brain replication datasets; retained by default.
FAT4,20,survived,down,0,0,0,No brain replication datasets; retained by default.
MARCO,20,survived,down,0,0,0,No brain replication datasets; retained by default.
POGLUT3,20,survived,down,0,0,0,No brain replication datasets; retained by default.
FAT1,21,survived,down,0,0,0,No brain replication datasets; retained by default.
SYNE1,21,survived,down,0,0,0,No brain replication datasets; retained by default.
TAB2,21,survived,down,0,0,0,No brain replication datasets; retained by default.
TBX5,21,survived,down,0,0,0,No brain replication datasets; retained by default.
BCL2,22,survived,down,0,0,0,No brain replication datasets; retained by default.
CEBPB,22,survived,down,0,0,0,No brain replication datasets; retained by default.
IL6,22,survived,down,0,0,0,No brain replication datasets; retained by default.
MN1,22,survived,down,0,0,0,No brain replication datasets; retained by default.
PIK3R1,22,survived,down,0,0,0,No brain replication datasets; retained by default.
SGCE,22,survived,down,0,0,0,No brain replication datasets; retained by default.
CDK20,23,survived,up,0,0,0,No brain replication datasets; retained by default.
GRHL2,23,survived,up,0,0,0,No brain replication datasets; retained by default.
MDM2,23,survived,up,0,0,0,No brain replication datasets; retained by default.
TCF25,23,survived,up,0,0,0,No brain replication datasets; retained by default.
ANKRD30A,24,survived,up,0,0,0,No brain replication datasets; retained by default.
EIF2B5,24,survived,up,0,0,0,No brain replication datasets; retained by default.
KRAS,24,survived,up,0,0,0,No brain replication datasets; retained by default.
LRATD2,24,survived,up,0,0,0,No brain replication datasets; retained by default.
MUC1,24,survived,up,0,0,0,No brain replication datasets; retained by default.
PHLDB3,24,survived,up,0,0,0,No brain replication datasets; retained by default.
PTPRK,24,survived,up,0,0,0,No brain replication datasets; retained by default.
SLC25A15,24,survived,up,0,0,0,No brain replication datasets; retained by default.
BARD1,25,survived,up,0,0,0,No brain replication datasets; retained by default.
CTPS1,25,survived,up,0,0,0,No brain replication datasets; retained by default.
DNAJC1,25,survived,up,0,0,0,No brain replication datasets; retained by default.
RALY,25,survived,up,0,0,0,No brain replication datasets; retained by default.
ARRDC3,26,survived,down,0,0,0,No brain replication datasets; retained by default.
ELOVL5,26,survived,down,0,0,0,No brain replication datasets; retained by default.
ERCC8,26,survived,down,0,0,0,No brain replication datasets; retained by default.
MAP1LC3B,26,survived,down,0,0,0,No brain replication datasets; retained by default.
CASP3,28,survived,up,0,0,0,No brain replication datasets; retained by default.
ERBB2,28,survived,up,0,0,0,No brain replication datasets; retained by default.
NREP,28,survived,up,0,0,0,No brain replication datasets; retained by default.
TEFM,28,survived,up,0,0,0,No brain replication datasets; retained by default.
TOP1,28,survived,up,0,0,0,No brain replication datasets; retained by default.
ALCAM,29,survived,up,0,0,0,No brain replication datasets; retained by default.
HSPA4,29,survived,up,0,0,0,No brain replication datasets; retained by default.
IRX5,29,survived,up,0,0,0,No brain replication datasets; retained by default.
SOX4,29,survived,up,0,0,0,No brain replication datasets; retained by default.
TDG,29,survived,up,0,0,0,No brain replication datasets; retained by default.
TOX3,29,survived,up,0,0,0,No brain replication datasets; retained by default.
