gene,cluster_id,random_effect,random_se,random_p,fixed_effect,fixed_se,fixed_p,i_squared,tau_squared,cochran_q,n_datasets,direction
BST2,0,0.7831728805083126,0.1774683251231922,1.0193429592671041e-05,0.7006316153782135,0.11118771531944302,2.950829951488403e-10,49.73003113118409,0.047365745119802335,3.978518477342175,3,up
MORC4,0,0.4398415273811584,0.15575808212673165,0.0047446720723866315,0.402791566008162,0.10526575360662412,0.00013001746360417367,41.95182738575061,0.022560630916622148,1.7227071154252405,2,up
NME4,0,0.2918751453770515,0.06639406442037256,1.1021165496590724e-05,0.2918751453770515,0.06639406442037256,1.1021165496590724e-05,0.0,0.0,1.4321706366375362,3,up
PLXDC2,0,0.47401296582482366,0.07378837047833747,1.3278090216466033e-10,0.4739851342438173,0.07364476076698694,1.2258130891787826e-10,0.20665674329691078,4.363748732585512e-05,2.0041416939557846,3,up
SELENOK,0,0.30625165313933683,0.11563188860671074,0.008084861603463276,0.246583392495742,0.05623776748327782,1.1616799497337771e-05,61.85643695176593,0.022175992601957784,5.243348654846217,3,up
COX7A1,1,-0.40590081804892475,0.18841947847053003,0.031221338523646384,-0.5088743315590739,0.0929999805196017,4.4556750781111026e-08,63.37308505527939,0.06062628527215887,5.460465351828052,3,down
DDX1,1,-0.23754852368018434,0.24675218859763853,0.335697706704028,-0.2609305523508841,0.062181879775102096,2.7137379075133884e-05,81.77100806472156,0.12217558398377022,10.971533736483876,3,down
KYAT3,1,-0.3704010615410364,0.17904362804959223,0.03856716354248295,-0.43764958388878783,0.0937953130008084,3.071092925541472e-06,59.8674647204336,0.0527422631726505,4.983487801276055,3,down
OBI1,1,-0.23708165678291773,0.1622805962148647,0.14403285085814235,-0.25038309058556496,0.06316969905631899,7.38099362054547e-05,67.2283406773305,0.04653191093393547,6.102834099146509,3,down
PHYH,1,-0.20953183533241082,0.14690365236458447,0.15377556616672172,-0.20844589944319825,0.04694126712645746,8.97216518990448e-06,76.48425823512261,0.04101506767172173,8.50494115812735,3,down
SERGEF,1,-0.20397987502021905,0.12795467639575575,0.1109008188940875,-0.22444633810469986,0.047471780834612294,2.2674786912478797e-06,74.34729914922372,0.029361500241367994,7.796450017618623,3,down
UBE4A,1,-0.1891920786748252,0.07913934710469153,0.016819967346390213,-0.19385545086781472,0.043151139905579075,7.039992727118027e-06,50.17590712150479,0.008628327346196627,4.014122253820759,3,down
UQCRC2,1,-0.2290981506061882,0.20018502049167455,0.2524445086210272,-0.32399705125992145,0.08136762638125332,6.836902117005614e-05,73.96816343065412,0.07751720808208744,7.682900108381617,3,down
