gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
ATAD1,0.13119315773601306,0.160876056655953,0.0,0.33333333333333326,0.0
ATP5PD,0.14352595033071935,0.15819469401150257,0.0,0.33333333333333326,0.0
BIN3,0.5744806334396575,0.22021577651794033,0.0,0.33333333333333326,0.0
BLMH,0.3777265888912184,0.22886169322106967,0.0,0.33333333333333326,0.0
CADM1,0.6643178595280923,0.02131015930925119,0.0,1.0,0.0
CAMK1G,0.049577015230799985,0.5056966797793049,0.0,0.33333333333333326,0.0
CHRNB1,0.42009663164209393,0.6619756219292352,0.0,1.0,0.0
CNIH3,0.14015481488734707,0.0,0.0,0.33333333333333326,0.0
COQ6,0.17738248889723132,0.4764366312449459,0.0,0.33333333333333326,0.0
COX6C,0.40314523654457857,0.05454373667234318,0.0,0.33333333333333326,0.0
CRIPT,0.6477985842971201,0.05459894807102196,0.0,0.33333333333333326,0.0
CSE1L,0.4851305256241717,0.14206653737598188,0.0,0.33333333333333326,0.0
DBF4,0.27914834294165947,0.02141368904311854,0.0,0.0,0.0
DEPP1,0.7789028313357855,0.23466037779491117,0.0,1.0,0.0
EMP1,0.7718603345825649,0.34551815248860146,0.0,1.0,0.0
EN2,0.4353201060677182,0.02175718155075746,0.0,1.0,0.0
ERRFI1,0.5631649110535536,0.001282335884241626,0.0,0.33333333333333326,0.0
FAM133A,0.11591418427626991,0.21979127367651904,0.0,0.33333333333333326,0.0
FLRT3,0.044237901879820435,0.2052251136797235,0.0,0.33333333333333326,0.0
GAREM1,0.4365362648493702,0.22835403136010612,0.0,1.0,0.0
GSTM4,0.22523548167739396,0.21640988421968446,0.0,0.33333333333333326,0.0
ICA1,0.03651277250485923,0.6602336569940509,0.0,0.33333333333333326,0.0
IL1R1,0.7379643423554784,0.28402166848460325,0.0,1.0,0.0
KLHDC2,0.09278763152038877,0.6775097998820903,0.0,0.33333333333333326,0.0
MANSC1,0.1102744751480475,0.5219875090772934,0.0,0.33333333333333326,0.0
ME3,0.11122233482505706,0.31870531057871626,0.0,0.33333333333333326,0.0
MRPS33,0.5058247556614107,0.0026174580503033036,0.0,0.33333333333333326,0.0
MVB12A,0.43507403468680717,0.23351782899938744,0.0,1.0,0.0
NPRL2,0.2041489697707466,0.12161658159817525,0.0,0.33333333333333326,0.0
OLA1,0.03537367839480396,0.8585146821421824,0.0,0.33333333333333326,0.0
PFN1,0.5563601875093002,0.14360919468634814,1.0,1.0,0.0
PIK3CB,0.11590993597725645,0.318500339755234,0.0,0.33333333333333326,0.0
PON2,0.6609453724514492,0.026870178312792155,0.0,1.0,0.0
RAB9A,0.5655778855346354,0.2009741622151687,0.0,0.33333333333333326,0.0
RAC3,0.13948545015916466,0.06478221380316562,0.0,0.33333333333333326,0.0
RPL27A,0.378316210549775,0.08546725154915641,0.0,1.0,0.0
RRAGD,0.6367972150621871,0.08312502593209396,0.0,1.0,0.0
SERP1,0.4091036047717587,0.363392137136557,0.0,1.0,0.0
SFMBT2,0.5069951409113009,1.0,0.0,1.0,0.0
SORL1,0.11059672950093416,0.3623534952301073,0.0,0.33333333333333326,0.0
SPP1,1.0,0.1009675368596482,0.0,1.0,0.0
SRGAP1,0.7990085832168466,0.44502229679458705,0.0,1.0,0.0
SVOP,0.0,0.3140919180934933,0.0,0.33333333333333326,0.0
SYT13,0.2461827567527311,0.1866780688103317,1.0,0.33333333333333326,0.0
TAL1,0.5661138294175225,0.14753347775081224,0.0,1.0,0.0
TBC1D4,0.09700743561207892,0.5510418020288554,0.0,0.33333333333333326,0.0
TOX,0.3289571498845024,0.40120173190724695,1.0,0.33333333333333326,0.0
TPI1,0.1265674311794768,0.210809842872352,0.0,0.33333333333333326,0.0
VAT1,0.4333285281286057,0.14931630146004451,0.0,1.0,0.0
YKT6,0.41413248251179946,0.3136472590499216,0.0,1.0,0.0
