gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
ABCB1,3,3,-1.8963828424935574,-1.8963828424935574,True
ABCC1,3,3,1.5497042608539193,1.5497042608539193,True
ABCG2,3,3,-4.2963092007769275,-4.2963092007769275,True
ACLY,3,3,1.0247297024135655,1.0247297024135655,True
ACVR2A,3,2,-0.3891312913022575,-0.3935089216004446,True
ADAM10,3,2,-0.14668033557795765,-0.4461158285336042,True
ADAM17,3,3,0.6789560380650362,0.6789560380650362,True
AKT2,3,2,0.6685801684985178,0.8887864621172068,True
ALCAM,3,3,0.7690651684199459,0.7690651684199459,True
ALDH1A1,3,3,-1.986974041254175,-1.986974041254175,True
ANGPT2,3,3,0.8453808718815293,0.8453808718815293,True
ANPEP,3,3,-3.720320333721856,-3.720320333721856,True
APC,3,3,-1.0941148523710484,-1.0941148523710484,True
ASCL2,3,3,3.365563897372484,3.365563897372484,True
ATM,3,2,0.28498201790185834,0.6003665452456448,True
ATR,3,3,0.9368449998090836,0.9368449998090836,True
AURKA,3,3,1.9205148012668642,1.9205148012668642,True
AURKB,3,3,0.8881639652755711,0.8881639652755711,True
AXIN1,3,2,0.5518001658680748,0.6407664046390378,True
AXIN2,3,3,2.136777915185833,2.136777915185833,True
B2M,3,2,-0.33537731954813427,-0.49662414598886695,True
BAK1,3,2,-0.31535666731978235,-0.47795581645586394,True
BCL2,3,3,-1.5822192675234055,-1.5822192675234055,True
BCL2L1,3,3,1.082132470585614,1.082132470585614,True
BIRC5,3,3,1.6087019601024302,1.6087019601024302,True
BLM,3,3,1.0768619031723432,1.0768619031723432,True
BMP2,3,3,-1.6391157682711566,-1.6391157682711566,True
BMP4,3,3,1.157743460353353,1.157743460353353,True
BMP7,3,3,0.7711482186212941,0.7711482186212941,True
BMPR2,3,2,0.08337769908659443,-0.15355031152652332,False
BRCA1,3,3,1.1367555883026477,1.1367555883026477,True
BRCA2,3,3,1.6154011895177056,1.6154011895177056,True
BRD4,3,3,0.7132765865073765,0.7132765865073765,True
BUB1,3,3,1.565525236009342,1.565525236009342,True
BUB1B,3,3,1.2078031663783586,1.2078031663783586,True
CASP9,3,3,-0.052553289244092305,-0.052553289244092305,False
CCL20,3,2,1.7123228615070023,2.2238728982724085,True
CCL5,3,3,-1.4297949844553184,-1.4297949844553184,True
CCNA2,3,3,1.0451370568246352,1.0451370568246352,True
CCNB1,3,3,1.491891482191072,1.491891482191072,True
CCND1,3,3,1.6404302745007635,1.6404302745007635,True
CCNE1,3,3,1.451683278035464,1.451683278035464,True
CCNE2,3,3,0.980853034060312,0.980853034060312,True
CD274,3,2,0.12274265050884707,0.3833158824299372,False
CD3E,3,2,-0.4795907811712099,-0.5602307792619057,True
CD4,3,2,-0.6097988157947709,-0.590291863187701,True
CD40,3,2,0.1726014022154129,0.30832561510185874,False
CD44,3,2,0.9316968437996671,1.230834895759024,True
CD8A,3,2,-1.180572582173215,-1.5667497827620505,True
CDA,3,2,-1.9388621391210075,-2.5158566977886534,True
CDC20,3,3,1.377853805520119,1.377853805520119,True
CDC25A,3,2,1.2682156253072592,1.8743263801632697,True
CDH2,3,2,0.14212481080546402,0.0878916825484739,False
CDH3,3,3,5.642636424583355,5.642636424583355,True
CDK1,3,3,1.722349191970624,1.722349191970624,True
CDK2,3,3,0.9726157433343431,0.9726157433343431,True
CDK4,3,3,1.2637428780294073,1.2637428780294073,True
CDK8,3,3,0.9299656502216083,0.9299656502216083,True
CDKN1A,3,3,-0.8846356138601662,-0.8846356138601662,True
CDKN2A,3,2,0.5597354442932231,0.7350991418235928,True
CDKN2B,3,3,-3.129991271741203,-3.129991271741203,True
CDX1,3,2,-0.3801615715381921,-0.43926449141443147,True
CEACAM5,3,2,0.24542292344232308,0.3104413505206285,False
