gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
ACBD6,3,2,0.2388158493966186,0.16337336626616716,False
ACTR6,3,2,0.1493021103168554,-0.3555935825449845,True
ADD1,3,2,0.29522323236047104,0.4624527710727575,False
AIG1,3,2,0.15490293636783323,-0.04993063831399125,False
AP3M2,3,2,0.1907530363048068,0.3332718818450302,False
BRI3BP,3,2,-0.07389776858608421,-0.06321469757374043,False
BUD31,3,2,0.44814698749269316,0.657712340453785,True
CBX7,3,2,-0.009486585707818426,-0.2691092744787653,True
CEBPB,3,2,0.8850196076479525,1.1623058942059021,True
CLTC,3,2,-0.14129693987880346,-0.3731989740832713,True
COA1,3,2,0.08332864515530207,-0.19331456149534,True
DDIT4,3,3,0.716642233070797,0.716642233070797,True
DIPK1B,3,2,0.014464900444779735,-0.21316472861315905,True
EFCAB14,3,3,0.4705785196149093,0.4705785196149093,True
EMP1,2,2,1.0367003511833621,1.0367003511833621,True
GALNT17,3,2,-0.05504723794941935,-0.2897941655138929,True
GBGT1,2,2,0.6967515257022827,0.6967515257022827,True
HCST,2,2,0.8086445021860813,0.8086445021860813,True
IL17RA,2,2,0.9498777674513521,0.9498777674513521,True
MBTPS1,3,2,0.12930761659310708,-0.1432017416638307,True
METTL2A,3,2,0.13548672792216335,0.25705172755092676,True
MKNK2,3,3,0.7266210076814046,0.7266210076814046,True
MPC2,3,2,0.19241209223642683,0.2822559870822037,False
MRPS18B,3,2,0.2364725413281031,0.349522493235743,False
MTMR2,3,2,-0.06127247665319402,-0.2651153921007019,True
NBPF3,3,2,0.23144847714010316,0.31298652598739807,False
NFE2L3,2,2,0.6969255044582612,0.6969255044582612,True
OTULIN,2,2,0.6966206349601709,0.6966206349601709,True
PEX14,3,2,-0.222878930546876,-0.21704239718549978,True
PHLDA1,3,2,0.579804178486306,0.3395319739396545,True
PLAC9,3,3,0.7735138475395241,0.7735138475395241,True
PNMA3,3,2,-0.07175516720490431,-0.546710294272283,True
PSEN2,3,2,-0.006919838312675471,-0.28861838294551223,True
PSTK,3,2,0.12327719696717547,-0.07313857838020699,False
PTPRZ1,3,2,0.5480810639045295,0.38254890248732387,True
RC3H2,3,2,0.13439928364431028,-0.04864481028568379,False
RNASEH1,3,2,0.15398991700100328,-0.2146740797240354,True
SELENON,3,2,0.5777428589360311,0.44536513292381663,True
SH3BGRL3,3,2,0.45648784065747766,0.41370985694313056,True
SLC25A5,3,2,0.2685755263201859,0.4722245752431,False
SRP72,3,2,0.05589132818332724,-0.17359249084294426,True
SRRT,3,2,0.5640105464006337,0.8076068955496702,True
STN1,3,2,0.06607553974950979,-0.2744632300059433,True
UNG,3,2,0.5376589847702699,0.7922515206208489,True
XXYLT1,3,2,0.24045257588968103,0.35235486210663525,False
ZHX2,3,2,0.35152297635916935,0.3663267171033877,True
