gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
AARS1,3,2,0.0837317797936364,-0.24757447404502608,True
ACTR1B,3,2,-0.29086667031482466,-0.5387780190170117,True
ANXA2,3,2,0.902531141098193,0.8931159417087429,True
AUH,3,2,-0.2964037800472288,-0.39820362288736955,True
C1QTNF1,3,2,0.7353299452417655,0.8123443104544652,True
CBX5,3,2,-0.07008608089398975,-0.03155037501621161,False
CCDC167,3,2,0.3837479208135936,0.25540058826247547,True
COLGALT1,3,2,0.598030568229681,0.4430081049420238,True
COX7B,3,2,0.25931598023588887,0.43555482324165196,False
CRISPLD2,3,3,0.7578626331715562,0.7578626331715562,True
DCTN1,3,2,-0.16236984611158256,-0.19484063381968042,True
EBNA1BP2,3,3,0.15045877293729001,0.15045877293729001,False
EMP3,2,2,0.7130347342933208,0.7130347342933208,True
FAT4,2,2,0.5143338062267975,0.5143338062267975,True
GATAD2A,3,2,0.47504979501161354,0.35350045579576683,True
GPAT3,3,2,-0.17954910868102947,-0.541734887542681,True
H2AC20,3,2,0.5451325989539498,0.4291545258254801,True
IL17RD,3,2,0.6019929614957084,0.8478785014775365,True
KLF9,3,2,0.3336337077404652,0.5770798764536456,False
LAPTM4A,3,2,0.17218051082433453,0.3257618557056534,True
LDHB,3,2,0.24500222464543567,0.38963024919892364,False
LZIC,3,2,0.3710835611474657,0.14814930732648635,True
MAD2L1BP,3,2,-0.09047559483478522,-0.36429447795988157,True
MAD2L2,3,2,0.3899140028191823,0.25024752126829064,True
NECAP1,3,3,0.20133928754352315,0.20133928754352315,False
NPTX1,3,2,-0.232117772548591,-0.4038958855061052,True
NUP54,3,2,0.24035713834992686,0.45395774498264263,False
PDS5B,3,2,0.12983501569018005,-0.3037891447361232,True
PFKFB2,3,2,0.19806751771729628,-0.22087383414158834,True
PLIN2,3,3,1.0501228358988002,1.0501228358988002,True
PRDX4,3,2,0.48642192924422606,0.6692919002092873,True
RAB13,3,2,0.5376332718849957,0.685471432928313,True
RCOR3,3,2,0.18685443966323678,-0.2336033849215382,True
RDH11,3,2,0.17261353095049317,0.27186708542253424,False
S100A8,2,2,1.0868930479508583,1.0868930479508583,True
S1PR1,3,2,0.43840802293487924,0.3904453163834447,True
SEC61B,3,2,0.4674861426306401,0.16914646436854142,True
SELENOK,3,3,0.5020718994590911,0.5020718994590911,True
SLC25A27,3,2,-0.20903003126377762,-0.4710183189153154,True
SNX14,3,2,0.1657591540444742,-0.27415390903181835,True
TCEAL9,3,3,0.5034853370089678,0.5034853370089678,True
TNNT2,3,2,-0.4963845618395049,-0.6864977051613783,True
TTC19,3,2,0.09598446619429464,-0.3442998183915673,True
UBQLN2,3,2,0.3239498942502624,0.6091629114471644,False
UBR3,3,2,-0.08220093123339822,-0.25355722660648095,True
VPS39,3,2,-0.022484289941438956,-0.2122404574856267,True
WIPF1,3,2,0.6866557561687365,0.768722589139867,True
ZC3HC1,3,2,0.3030230948002644,-0.14981478426779127,True
ZNF395,3,2,0.5027209484026732,0.7081233432668306,True
