gene,cluster_id,random_effect,random_se,random_p,fixed_effect,fixed_se,fixed_p,i_squared,tau_squared,cochran_q,n_datasets,direction
DDAH2,0,0.47457886363335416,0.21281166985426395,0.025744685359567834,0.29906209012715224,0.05867527385045167,3.452578915611092e-07,81.469636877937,0.10273429345994985,10.793096642659528,3,up
INPP5D,0,0.31003318074465475,0.10252999962205914,0.002495975183847394,0.27127731991882115,0.06939563172009526,9.262483312894462e-05,27.277381764736862,0.010168704619937569,2.750176009243575,3,up
SOX4,0,0.6129473238779073,0.22299368766220898,0.005982837613816586,0.4136277352948578,0.07155588096573318,7.448533990033188e-09,65.82734628451817,0.09207684106879903,5.852632975629591,3,up
ATP1A1,1,-0.5075736595950396,0.2645749990803917,0.05505409474836214,-0.5067628837654332,0.09378493864136417,6.536862946873963e-08,75.66847882149457,0.137787828467696,8.219790227364857,3,down
GLMN,1,-0.3110915054335038,0.24586703217541325,0.20576970982221943,-0.2991174592534291,0.055230248006383306,6.100612245638403e-08,81.10040789760491,0.12489604076349324,10.582238966662912,3,down
RIOK1,1,-0.17363028909406,0.13200205533403145,0.18838877513178232,-0.16019084635808772,0.0371563407204313,1.6232292953857427e-05,74.11119179746096,0.03139894406494433,7.725345965535217,3,down
SCN1B,1,-0.8318860333759517,0.183409499266024,5.741931703770085e-06,-0.8648674380554,0.14258564722012487,1.3146230865655036e-09,29.408976598917448,0.030719421868058427,2.8332214262377855,3,down
SPINT2,1,-0.2766181807816685,0.21096580261189762,0.18979048992240155,-0.3194269422025359,0.0764104836042281,2.9098744019693526e-05,75.16538434752682,0.08703184838012833,8.053275428085104,3,down
