gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,mean_log2fc_sig,direction
BST2,0,True,True,True,True,4,True,0.8618405843978599,0.8618405843978599,up
CDKN1A,0,True,True,True,True,4,True,1.3171104542010474,1.3171104542010474,up
MAPKAPK2,5,True,True,True,True,4,True,0.4883339900103964,0.6539921268768489,up
NFE2L2,5,True,True,True,True,4,True,0.5918654191296433,0.4359866935563055,up
NMNAT2,3,True,True,True,True,4,True,-0.25216094568366404,-0.5083146875348756,down
SERP1,5,True,True,True,True,4,True,0.3313264311395461,0.27269329384729346,up
SH3GLB1,5,True,True,True,True,4,True,0.4488867973858784,0.26634382917486965,up
SLC2A5,5,True,True,True,True,4,True,0.7877110299936215,0.6291337341726642,up
TOPBP1,3,True,True,True,True,4,True,0.12465349455264096,-0.2182851994481112,down
VRK1,3,True,True,True,True,4,True,-0.08921964785812397,-0.33006907477141056,down
WSCD1,0,True,True,True,True,4,True,0.6184854627492665,0.6184854627492665,up
YBX3,0,True,True,True,True,4,True,1.1938554767287959,1.1938554767287959,up
ACBD6,1,True,True,True,True,4,False,0.2388158493966186,0.16337336626616716,up
ANAPC5,6,True,True,True,True,4,False,0.10419824206598587,-0.32040831644837997,down
ANKRD37,5,True,False,True,True,4,False,0.6206479288988446,0.8611825874107675,up
ASB8,7,True,False,True,True,4,False,0.1255956556460731,0.20551150715821187,up
ATP6V1B2,1,True,False,True,True,4,False,0.18337932668058285,0.18337932668058285,up
CAP2,1,True,False,True,True,4,False,0.0995368763011489,0.2647505141023636,up
CRYM,7,True,False,True,True,4,False,-0.45726952536909504,-0.8939597106103654,down
CTPS1,1,True,False,True,True,4,False,0.1462826082071403,0.27291322549473884,up
DCUN1D2,7,True,False,True,True,4,False,-0.042361684509987896,-0.2757551918450236,down
HDAC1,5,True,False,True,True,4,False,0.6011807919981341,0.5008802687058236,up
HYLS1,7,True,True,True,True,4,False,-0.07538066273238304,-0.4168836787835071,down
IL1R1,5,True,False,True,True,4,False,0.9653115245986451,0.9653115245986451,up
MSX1,5,True,False,True,True,4,False,0.8299989623860592,1.0864899885050505,up
NBEA,6,True,False,True,True,4,False,-0.14304614647817124,-0.3734515268305998,down
NDUFAF5,6,True,True,True,True,4,False,-0.0049675334018468575,-0.31827070473796093,down
NIF3L1,1,True,True,True,True,4,False,0.16541074371756018,0.16541074371756018,up
PRR5,5,True,False,True,True,4,False,0.5936948771979035,0.49831215218058933,up
RABL2A,1,True,False,True,True,4,False,0.2642358449230236,0.3166803103196485,up
RGN,7,True,False,True,True,4,False,0.05575453688842321,-0.09849960815666758,down
S100A16,5,True,False,True,True,4,False,0.7174473678008546,0.7169399811972116,up
SAMD9L,5,True,False,True,True,4,False,1.0721889745882978,1.0721889745882978,up
SEMA3E,3,True,False,True,True,4,False,-0.018603030723208274,-0.4291327886069305,down
TCEA2,6,True,False,True,True,4,False,0.15730525588897612,-0.19148314325025506,down
TPK1,6,True,False,True,True,4,False,0.007910692032051822,-0.3210526285878761,down
BBS7,3,True,True,True,False,3,True,-0.12841670109114092,-0.4006795891153665,down
CACNG2,3,True,False,True,False,3,False,-0.021730617368090382,-0.36115414093439346,down
CUTA,1,True,False,True,False,3,False,0.33350710108385595,0.5465169510103993,up
DNAJA2,3,True,False,True,False,3,False,0.0620563001707047,-0.29918444681366774,down
KIF1C,0,True,False,True,False,3,False,0.5159525277176039,0.5159525277176039,up
SV2A,3,True,False,True,False,3,False,-0.006911204981722226,-0.40032959769453047,down
TLE1,4,True,False,True,False,3,False,0.36685141691359363,0.18835601516641187,up
AK2,4,True,False,False,False,1,False,0.3854604018312558,0.24114056989107002,up
BCAR3,4,True,False,False,False,1,False,0.4609033740993042,0.629194388646392,up
BMPR1A,4,True,False,False,False,1,False,0.3411095572897225,0.3411095572897225,up
BNIP3,2,True,False,False,False,1,False,0.4445892648159247,0.6836988008328615,up
CMC1,2,True,False,False,False,1,False,-0.13150920209843905,-0.2564425005253925,down
CUL1,2,True,False,False,False,1,False,0.04279594372932394,-0.14160718754265256,down
FKBP14,4,True,False,False,False,1,False,0.5447621827460742,0.7713540781607773,up
HCST,4,True,False,False,False,1,False,0.8086445021860813,0.8086445021860813,up
ID3,4,True,False,False,False,1,False,0.673606517173822,0.5631307214122011,up
IL13RA1,4,True,False,False,False,1,False,0.5582445229942823,0.7614299465606242,up
KCTD5,4,True,False,False,False,1,False,0.45759996768125655,0.252172008830424,up
MAPK4,4,True,False,False,False,1,False,0.4655854161598751,0.25533062893411307,up
MAT2A,4,True,False,False,False,1,False,0.6570816207466965,0.9477028570110706,up
RHOT1,2,True,False,False,False,1,False,0.40071565155633593,0.5850845634627095,up
SNAPIN,2,True,False,False,False,1,False,0.1909835883621082,0.30128562434557393,up
SPAG9,1,True,False,False,False,1,False,0.31426742095990257,0.31426742095990257,up
SUDS3,2,True,False,False,False,1,False,-0.052032661628418055,-0.1601842383091583,down
TGFB3,4,True,False,False,False,1,False,0.7259975934813102,0.6350582922446013,up
USP4,2,True,False,False,False,1,False,0.26815001204785044,0.08020051227316305,up
