gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
CD79B,0.7444467741029402,0.08622127407709249,0.0,1.0,0.0
CD99,0.706714879970016,0.3084436637044163,1.0,1.0,0.0
CDAN1,0.7157605707119767,0.002780767107984961,0.0,1.0,0.0
CPLX1,0.0928373978371517,1.0,0.0,1.0,0.0
CTSH,0.7857022508108704,0.3352674475806885,1.0,1.0,0.0
DDIT3,0.5736495872149064,0.35213544019442183,0.0,1.0,0.0
DOK1,0.666049421483428,0.41400516002346394,0.0,1.0,0.0
FGR,0.779966720977784,0.1201194636747562,0.0,1.0,0.0
FRG1,0.1533328831595208,0.5822495274456997,0.0,0.33333333333333326,0.0
GADD45A,0.9642113143439898,0.2550332312621734,0.0,1.0,0.0
GINS1,0.3468412646051505,0.21582184490784903,0.0,0.0,0.0
HLA-F,0.7445743990921371,0.18578822282514487,1.0,1.0,0.0
IL13RA1,0.8305848163481856,0.012323602785353917,0.0,1.0,0.0
KIF1C,0.670068600278674,0.20785227983574944,1.0,1.0,0.0
LMBR1,0.12611534928514587,0.06295771834871808,0.0,0.33333333333333326,0.0
MANSC1,0.09946271510110952,0.6617461658346148,0.0,0.33333333333333326,0.0
MLC1,0.5491567794557433,0.186321991563549,0.0,1.0,0.0
NPAS3,0.5345480663809263,0.24105143408148683,0.0,1.0,0.0
NPL,0.8251286111906914,0.16181985264730703,0.0,1.0,0.0
NRDC,0.2552179305516985,0.0,0.0,0.33333333333333326,0.0
PBX3,0.5935235930170896,0.319801779982774,0.0,1.0,0.0
PIK3R4,0.1519518726260836,0.36585923431785233,0.0,0.33333333333333326,0.0
RBM38,0.5895468994169485,0.23310878319254846,0.0,1.0,0.0
SBF2,0.48210345674325,0.717744296350557,0.0,1.0,0.0
SLC16A3,1.0,0.6738639025656511,0.0,1.0,0.0
SLX4IP,0.5423801688397486,0.17784738011596338,0.0,1.0,0.0
TAGLN3,0.4198167692130643,0.2470038136078281,1.0,0.33333333333333326,0.0
TMED5,0.49788490628417414,0.03409249303390429,0.0,1.0,0.0
TOMM20,0.0,0.42657999932155455,0.0,0.33333333333333326,0.0
TRMT11,0.1145686100534225,0.24941684538867315,0.0,0.33333333333333326,0.0
UROD,0.16070126841225316,0.24091126939369192,0.0,0.33333333333333326,0.0
