gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
ACTL6B,3,2,-0.2379465493189672,-0.5014298500035088,True
ANGPTL4,3,2,0.7311635447433593,0.910557427243314,True
AP3M1,3,2,0.3007204219851743,0.16336320973556395,True
ATP6AP2,3,2,0.15150818596640145,0.3044366357508843,False
AVIL,2,2,0.17779773629043416,0.17779773629043416,True
BAHD1,2,2,0.33700126357210225,0.33700126357210225,True
CDC123,3,2,0.10840183027813784,-0.28241454559899726,True
CPEB1,3,2,-0.009109466746702951,-0.22322816199714546,True
CREG2,3,2,-0.14500128708659688,-0.7082645482515533,True
DIPK1B,3,2,0.014464900444779735,-0.21316472861315905,True
EPDR1,3,2,-0.0581603635152493,-0.6544499751236503,True
FAIM2,3,2,0.07123993610158053,-0.3792727577592405,True
FBLN2,3,2,0.4511743750867569,0.6891014275764107,True
FRG1,3,2,0.11182226023731283,-0.27429130663415946,True
GATM,3,2,0.4189846507312784,0.24171005728505657,True
GHDC,3,2,-0.0007916990916300529,-0.21438542916433834,True
GLS2,3,2,-0.21304010621317845,-0.558996545840468,True
H2AX,3,3,0.3265000219401542,0.3265000219401542,True
H2BC5,3,2,0.6032943497141714,0.4106002684899148,True
HCLS1,3,2,0.747955690317764,0.6995928888236888,True
IK,3,2,0.1723005252200472,0.32592872957336194,False
IL10RB,3,2,0.6056247416781072,0.867751193121008,True
KLF9,3,2,0.3336337077404652,0.5770798764536456,False
KMT5A,3,2,0.35272425507937655,0.2974997665106649,True
LPCAT4,3,2,-0.08674649331465704,-0.36102882400716485,True
MTX3,3,2,0.1215800021722983,-0.2799581410595797,True
NBPF10,2,2,0.9246353079411751,0.9246353079411751,True
NECAP2,3,2,0.5490313181766936,0.4054687271251054,True
NIF3L1,3,3,0.16541074371756018,0.16541074371756018,False
NMT2,3,2,0.12688345629636633,-0.17489558537923733,True
NUP210L,2,2,0.9406824033489806,0.9406824033489806,True
OLR1,3,2,0.7964298603915502,0.6855142097451393,True
PARP4,3,2,0.5937646336903343,0.35958469746545885,True
PNKD,3,2,-0.1636952870963929,-0.5239947658054644,True
PPARGC1A,3,2,0.06828164613940609,-0.37961841181210465,True
PRC1,3,2,0.026945263198055642,-0.37642665874211967,True
PTPN3,3,2,-0.12924000402528257,-0.4313653421196304,True
RPP25,3,2,-0.005302019869521797,-0.2858230178606376,True
SCN4B,3,2,-0.35139799914073616,-0.6076519227594406,True
SERINC1,3,2,0.19519134270360894,0.30731426954259167,False
SH2B3,3,2,0.5516503010395238,0.7362036402660159,True
SLC25A3,3,2,0.13813286053610696,-0.34247619181957845,True
SP110,3,3,0.8950186882162559,0.8950186882162559,True
SRGAP3,3,2,0.14696782491417792,-0.2433601742610847,True
SRP54,3,2,0.1733149328031461,-0.23420398752356353,True
SSX2IP,3,3,0.10524437438002703,0.10524437438002703,False
TNFSF13B,3,2,0.4702095971022365,0.670080234946459,True
TTC1,3,2,0.1400639621990202,-0.1806277131388625,True
U2AF2,3,2,0.3659073579306333,0.16938936442731745,True
UBA52,3,2,0.519634801154643,0.7368079002506525,True
UGDH,3,3,0.6406781414493237,0.6406781414493237,True
UNC79,3,2,0.030536981769329802,-0.254808379724353,True
YAP1,3,3,0.833031736527648,0.833031736527648,True
YBX1,3,2,0.5972950987647389,0.5510729627057849,True
YEATS4,3,2,-0.14154426731528727,-0.6088790692713949,True
ZNF22,3,2,0.5636948250828877,0.7789615722136558,True
