Riker Engine — Stability Profiling Report
============================================================

Config: /home/kai001/riker-engine/disease_days/2026-05-02_crc_v0332/blind_pc/config.yaml
Runs attempted: 50
Runs successful: 50
Total time: 70764.4s (1179.4m)

Core gene counts across runs:
  Min: 5994
  Max: 6057
  Mean: 6027.4
  Variance: ±31.5 genes (0.5%)

Unique genes seen: 6192
  Iron-clad (>=90% of runs): 5748
  Borderline (50-89%):       393
  Stochastic (<50%):         51

Iron-clad genes (5748):
  ALDH1A3: 47/50 (94%)
  ALDH1B1: 49/50 (98%)
  ALDH3A2: 50/50 (100%)
  ALDH4A1: 50/50 (100%)
  ALDH6A1: 50/50 (100%)
  ALG1: 49/50 (98%)
  ALG3: 50/50 (100%)
  ALG5: 49/50 (98%)
  ALG8: 50/50 (100%)
  ALKAL2: 50/50 (100%)
  ALKBH2: 50/50 (100%)
  ALKBH7: 50/50 (100%)
  ALPI: 50/50 (100%)
  AMIGO2: 49/50 (98%)
  AMMECR1: 50/50 (100%)
  AMN: 50/50 (100%)
  AMOTL2: 50/50 (100%)
  AMPD1: 50/50 (100%)
  AMPD2: 50/50 (100%)
  AMT: 50/50 (100%)
  AMZ2: 50/50 (100%)
  ANAPC10: 50/50 (100%)
  ANAPC11: 50/50 (100%)
  ANAPC13: 50/50 (100%)
  ANAPC5: 50/50 (100%)
  ANAPC7: 50/50 (100%)
  ANG: 50/50 (100%)
  ANGEL1: 50/50 (100%)
  ANGPT2: 50/50 (100%)
  ANGPTL1: 50/50 (100%)
  ANGPTL2: 50/50 (100%)
  ANK2: 50/50 (100%)
  ANK3: 50/50 (100%)
  ANKEF1: 50/50 (100%)
  ANKFY1: 50/50 (100%)
  ANKIB1: 50/50 (100%)
  ANKLE2: 50/50 (100%)
  ANKMY2: 50/50 (100%)
  ANKRA2: 49/50 (98%)
  ANKRD10: 50/50 (100%)
  ANKRD12: 50/50 (100%)
  ANKRD13A: 50/50 (100%)
  ANKRD13B: 50/50 (100%)
  ANKRD13C: 50/50 (100%)
  ANKRD16: 50/50 (100%)
  ANKRD22: 46/50 (92%)
  ANKRD35: 50/50 (100%)
  ANKRD39: 50/50 (100%)
  ANKRD40: 50/50 (100%)
  ANKRD40CL: 50/50 (100%)
  ANKRD44: 50/50 (100%)
  ANKRD52: 46/50 (92%)
  ANKRD9: 50/50 (100%)
  ANKS4B: 50/50 (100%)
  ANKS6: 50/50 (100%)
  ANLN: 50/50 (100%)
  ANO10: 50/50 (100%)
  ANO5: 50/50 (100%)
  ANO6: 50/50 (100%)
  ANO7: 50/50 (100%)
  ANOS1: 50/50 (100%)
  ANPEP: 50/50 (100%)
  ANTXR2: 50/50 (100%)
  ANXA2: 48/50 (96%)
  ANXA3: 50/50 (100%)
  ANXA5: 50/50 (100%)
  ANXA6: 49/50 (98%)
