cluster_id,n_iron_clad_members,members,min_modal_count,max_modal_count,mean_modal_count
48,8,C22orf39|GPBP1L1|MON2|NAT16|NDUFV2|SDHB|SELENOS|STIM1,2,2,2.0
49,45,ATP5MC3|CGREF1|COL9A3|DCAF1|DSG3|EEF1D|ENO1|ENOX2|EPHB1|FKBP4|FNTA|GINM1|GPI|HMMR|HS6ST2|IL6ST|INTS7|IRX3|KIF23|MAD2L1|NCOR1|NDUFC1|NIPSNAP3A|PABPC1L|PLGRKT|RAD51AP1|RBL1|RCBTB1|SACM1L|SERINC1|SNRPA1|SPC25|STK31|TATDN1|TBC1D30|TIMM17B|TINF2|TOPBP1|UBE2D3|VCAN|VPS26C|XPO1|ZC3H15|ZFAND6|ZNF24,1,2,1.7
50,15,BCL2L1|CDKN3|COL5A1|NOC4L|NONO|NSMCE1|PARVB|PES1|RACGAP1|SLC12A8|SRRT|TAGLN2|TMEM267|UGGT2|VPS72,1,2,1.5
52,11,ANKS6|CLCN5|CLNS1A|E2F1|GPALPP1|PCNA|PTPN13|RHBDF1|SPICE1|THUMPD2|ZNF146,2,2,2.0
53,5,EDEM3|FAM13B|FCGRT|LGALS9|MEI1,3,3,3.0
54,6,MCTP2|MGST3|RELCH|RIT1|RPS6KA6|SYNGR1,2,2,2.0
55,15,AKR1C3|CPEB3|IL18|KLK1|KLRC3|MXI1|NECTIN3|PCDH19|PDE2A|PLCD3|SACK1E|TNFSF10|TRANK1|TRPA1|TST,2,2,2.0
56,1,SCARA5,2,2,2.0
58,4,COX5B|EMCN|FAM219B|SAMSN1,2,2,2.0
59,7,AIG1|APBB2|BST1|HIBADH|MED30|METTL23|MYOCD,1,2,1.3
60,9,C3|COG1|EHD4|KAZN|MICU2|NDC80|PRKD1|PTPDC1|STARD13,2,2,2.0
61,2,DAZAP2|TMOD3,1,1,1.0
62,7,CDK12|FSCN1|FZD6|GPX2|PGK1|SMDT1|TNFRSF11B,1,2,1.9
63,10,DDX20|ENOSF1|FARP1|GMPR|LIAT1|PLEKHG6|RBPMS|SLC12A3|TAMM41|ZC3H13,2,2,2.0
65,7,AGR3|B3GNT7|FABP1|NPY1R|NR3C2|PLCL2|SEMA6A,2,2,2.0
67,6,CYSLTR1|GSTZ1|ITGA8|MAF|VLDLR|ZMYND12,2,2,2.0
68,17,ARFGEF2|BFAR|BUD13|C1GALT1C1|DDX1|DHPS|EMILIN2|MED12|METTL21A|MROH6|PLEKHA4|PSMC1|SIVA1|TMEM248|TUBD1|VPS4A|ZNF765,2,2,2.0
69,34,AARS1|AKAP7|APOBR|ATR|B3GNT6|CCNF|CENPF|DCAF13|DRAM1|EIF6|EPHB4|GPCPD1|JAM2|LRRC66|MORC2|MPEG1|NKD1|P3H1|PAICS|PCSK2|PIEZO1|POGLUT2|POM121C|PPP1R16B|PSMD14|SHMT2|SIGMAR1|SLC1A1|SRPX|TFAP2C|TKT|UGP2|WDR43|YAE1,2,3,2.4
70,19,ARHGAP9|CDK8|CTNNBL1|EXOSC7|GZF1|LRRN3|LSP1|MALSU1|NAA20|NCAPD2|NOL12|PFDN2|PPIH|PVRIG|SASH3|SPTBN4|TMEM256|U2AF1L4|ZNF74,2,2,2.0
72,12,AP1S2|CAMK1D|CCN1|CKAP2|CLEC2B|EGR3|ELAPOR2|FOS|FOSB|JUNB|NR4A1|SIK1,2,2,2.0
73,3,DDX3X|FCHSD2|TGFBR2,2,2,2.0
74,15,APEX2|CHCHD7|CKLF|COPS6|GATD1|GTF3C5|HSPA14|HSPD1|INTS15|NUDC|SNRPD2|SUPT20H|TMEM109|TRAPPC2L|TUBA3D,2,2,2.0
75,21,ANKRD39|ASXL1|BLOC1S3|CHAMP1|DDX18|EIF3CL|FOCAD|HDGF|HNRNPD|HSP90AB1|IQCB1|NKAP|NUP43|PNPO|POLG2|SLC35H1|SNRPB2|STAM|WBP11|ZNF200|ZNF574,1,2,1.7
77,5,CDK4|DTD1|EIF2S2|NOP2|TAF1A,2,2,2.0
78,12,BEST4|CA7|CLCA1|COL1A2|FUT1|HEPACAM2|HSD17B2|LGALS2|NCAPH|PHLDA2|PPIL1|SST,2,3,2.6
79,1,GPR143,2,2,2.0
80,7,ABHD6|CADM1|COX4I1|MYCT1|PSME3|SASH1|STK3,2,3,2.1
81,4,FABP2|PROM2|RERGL|TRIM36,2,2,2.0
82,8,ANAPC13|COG8|NDUFAF7|NUP42|RBM10|SRSF7|XRCC6|ZNF444,2,2,2.0
83,9,ARCN1|ATL2|BCL11B|CHST14|DNM1L|KIF22|METAP1D|MRPS26|UBE2V2,2,2,2.0
85,24,CPLX1|DCLK1|DEPDC1|FUCA1|GLIPR2|HTRA3|IARS1|IL17RB|INPP5D|KLB|METTL2B|MS4A4A|NR3C1|NUBP2|NUP205|OR51E1|PARM1|PGCKA1|PRPS1|SKA1|TDP2|TLCD3A|UGDH|WDR72,1,3,2.0
86,13,CKS2|DISP2|FERMT1|GAL|GIMAP7|GRAMD2B|HGD|HKDC1|PALD1|PRSS12|SERPINH1|SMIM14|TMEM201,2,2,2.0
87,11,DHRS11|FABP4|IL1R2|JCHAIN|MOGAT2|RUNDC3B|SCGN|SCIN|SFRP1|SPON1|UGT2B28,2,2,2.0
88,16,B3GALT4|CLDN5|DCAF7|DOCK9|FXYD1|GPHRA|GYPC|HHLA2|MT1F|NDUFAF2|PDE9A|PGM3|ST6GALNAC6|TMEM100|WIPI2|ZFP36L1,1,2,1.8
89,5,ACVR1C|CBLN2|CDHR2|CLMN|VIPR1,2,2,2.0
90,18,ATP5PF|CIB1|CIDEB|CNR1|COCH|COX5A|CSAD|IFNA4|KIT|KTN1|PHKB|PPP2R3A|SFTPD|SLC41A2|SYNC|TCEA3|TENT5C|VILL,2,2,2.0
91,8,CYB5D2|DHRS4L2|FLI1|HECTD3|MAPK3|SPAG7|STPG1|ZSCAN18,2,2,2.0
92,6,ALPI|ECHDC2|GPS2|PLEKHH1|SCAMP2|SESN2,2,2,2.0
95,2,MRPL12|PREP,2,2,2.0
96,5,CD163L1|DNASE1L3|GPX3|SLC28A2|TNFRSF17,2,2,2.0
97,13,DOCK6|ELOC|HIP1|JPT2|LARP1|MRPL57|NEK3|PAXX|PCID2|POT1|SHISA5|TMEM243|ZNF184,1,2,1.7
98,21,BCL7A|CHPF2|DBF4|DPY19L1|FHL3|GLA|LUC7L2|MBTPS2|NAT10|PNPT1|POLD2|PTCD3|RBCK1|RBM28|RILPL1|SFXN3|TRAP1|UBA6|UCKL1|WASF1|ZNF738,1,2,1.8
99,11,ATP6AP1|CCZ1B|DPAGT1|FYB1|GTF3C1|KRT18|ORAI1|RPUSD3|SEPTIN9|ZC3H18|ZNF674,1,2,1.1
100,23,ATP2C1|ATP5F1E|CENPO|CPSF6|DEF8|DHX9|EDEM2|GNA12|GSTO1|GTF2E1|HMBS|ITGB4|LARS2|MLLT6|MLST8|MTPAP|MYO10|PRDX2|RBM14|STK35|STX10|TAF6|WRAP73,1,1,1.0
106,4,CCDC69|FOXF2|PKHD1L1|SLIT2,2,2,2.0
107,15,C16orf89|CCL5|CD27|CIDEC|CLIC6|DOCK2|EVI2B|FAM107A|KLRB1|KRT20|MEP1A|P2RY12|RMDN2|SLAMF7|TMCC3,2,2,2.0
108,12,ABCB6|ANXA6|ARSL|CDC27|GLIS2|LMBR1|PFKFB4|POC5|PODXL2|TFAM|TMEM68|TYRO3,2,2,2.0
109,3,PCNP|SAMD3|SELL,1,1,1.0
110,10,AATF|AGRN|CDK5RAP1|KIF9|KNTC1|P2RX4|PDZK1IP1|TBC1D24|WDR35|WDR74,2,2,2.0
111,11,ARL6IP6|BICDL1|CIZ1|COG6|DPYSL2|FHIP2A|HSPA13|LYSMD2|MB21D2|POLD3|PWP2,2,2,2.0
112,20,ABCC1|ARMCX1|BAD|CFAP263|CRAT|EPDR1|G6PD|GRINA|IFITM1|MTHFD2|MYO5A|PLOD3|PSMA7|PYCR1|RHOF|RNASEH2A|TPD52L2|XPO5|ZNF503|ZNF593,1,2,1.6
114,1,ATAD3B,2,2,2.0
116,10,CCDC124|CEP41|EIF5A2|KIF11|KIF15|LRRC20|PHKA1|QSOX2|RAD54L|SUV39H2,2,2,2.0
117,11,FITM2|GATAD2A|IPCEF1|KIF20B|LPAR6|PCNX2|RASSF5|RCC1|SOAT1|SRD5A1|TGS1,2,2,2.0
118,5,CCT2|GGH|NUP107|SRPRB|ZNF777,2,2,2.0
119,5,CUL7|MYBBP1A|SAFB|SFPQ|ZNF384,2,2,2.0
121,14,ALDH1B1|CCDC43|CCDC71L|CD44|CHPF|CLBA1|DNAAF4|FAM53C|GTF2E2|HACL1|LARP4|MCFD2|MEX3D|TNFRSF1B,2,2,2.0
122,16,BBLN|EIF3H|H2AX|HEYL|LACTB2|MAPKAPK3|NAP1L1|NHP2|ORC3|PBDC1|SLC19A1|SMYD3|SOCS7|TALDO1|TGIF1|UTP15,3,3,3.0
123,8,CSF2RB|GFI1|KLHL13|LRRC49|MTMR6|PYGM|SHLD1|SRP72,1,2,1.5
124,11,FIBP|HAGHL|HSPB7|IPPK|KDELR1|LDHA|RETREG1|RNF126|SULT1E1|SYT17|XPO6,1,2,1.4
125,16,BIK|C5orf15|C6orf132|COG5|CYB5B|DCP1A|FBXO2|RITA1|SELENOF|SLC1A7|TMEM198|TRMT2B|TSPAN6|UNC45A|URB1|ZNHIT6,1,2,1.8
126,4,ARHGDIB|GPRC5A|RPS7|SERPINA3,1,1,1.0
127,5,CCDC34|ENKD1|MTDH|PTK7|ZNF572,2,2,2.0
128,13,ATP8B3|GAS7|GATD3|HOXD8|HSBP1L1|LMO2|MTFR1L|RAB37|SFMBT2|SGCB|STS|SYT13|ZMAT1,2,2,2.0
129,8,DCAF16|ETF1|KAT7|KCNJ16|PHLDA3|RFC1|ZNF143|ZNF189,2,2,2.0
130,4,HTRA1|PIM3|POLR1B|PSMB9,2,2,2.0
131,9,ATOX1|CAMSAP2|CHD4|DDB1|FADS3|LMCD1|LPCAT2|PJA1|PSMD8,2,2,2.0
132,14,ADPRM|ARHGAP5|FAM149B1|IL2RB|LRRC36|LYN|MYL6B|NAA16|PRKCA|RAB15|RAD23A|RSBN1|TSTD2|ZFYVE26,2,2,2.0
136,3,ABAT|ARHGEF25|NDOR1,2,2,2.0
139,10,BMP7|CENPU|DHX37|PFAS|RANGAP1|RBM26|RTL10|SLC39A4|THOC2|ZWINT,2,2,2.0
140,23,ACD|ARMCX3|ASPM|CEACAM7|CENPH|CENPQ|COL27A1|ENAH|GOLT1A|GRAMD1A|LIFR|PCK1|PEMT|SBSPON|SEMA3F|SLC26A2|SOX4|TPH1|UBAP2|UTP25|WDHD1|ZBTB7C|ZDHHC9,2,2,2.0
141,5,B3GALT2|BMAL1|IFIT1|RAB3B|ST8SIA4,2,2,2.0
142,6,ACTR10|ATP8B4|BCL2L2|MFSD2B|RARRES2|SLC9A1,2,2,2.0
145,13,AHNAK|BLCAP|CHMP1B|DENND4B|ECD|GOLM1|LGALS4|LRRC75A|MRPL24|PHYKPL|S100A14|SCCPDH|ZNF304,2,2,2.0
146,20,AMPD2|AURKB|BZW2|CNPY3|DCLRE1A|E4F1|FCHO1|GLRX3|IRF2BP1|KLHL26|LRSAM1|MCTS1|MRM2|MRPL36|NOTCH1|PTGES2|RPA3|RPAP1|TIMM17A|TNFSF9,1,2,1.5
147,9,DNAJC9|EIF2S3|FKBP9|PDCD5|PRKDC|PSMB2|PTRH2|TAF4|TRIM24,2,2,2.0
148,9,BTNL8|DES|FDCSP|IGLL5|SLC17A8|SLC60A1|TIAM1|TPSB2|TPSG1,2,2,2.0
149,8,CRYBA2|EVI2A|FCRLA|FERMT3|GPAT2|HMGN5|KCNS3|NEU4,2,2,2.0
151,2,ARSK|NAP1L4,2,2,2.0
153,8,ATP8A1|EPHA4|FOLR2|HOXA5|MIER3|PLA2G4A|RNF112|SLC2A13,2,2,2.0
155,3,ETV7|POGLUT3|TRIM8,2,2,2.0
157,16,ACAA1|BAIAP3|CERK|CHMP2A|GPRASP1|HDC|ID3|IL10RA|KAT6B|MOGAT3|NADSYN1|PINK1|PLA2G5|RIPK3|SLC20A1|SLC31A2,2,2,2.0
158,10,ABCC3|FRMD5|HADHA|MAGI2|MXRA5|RGL2|RNF11|SDHD|SMPD1|YIPF2,2,2,2.0
159,7,CDKN1A|DAPK1|FZD1|GFRA3|LIPJ|MYO7B|UST,2,2,2.0
161,40,C11orf98|CNP|COMMD5|CUTA|ECHS1|GHDC|GNAT2|IRGQ|LANCL2|LRPPRC|MON1A|MRPL51|MTX1|NARF|NFKBIE|NPRL2|NRM|POMGNT1|PSMB7|PSMD2|RAB2B|RASGRP3|RBM15B|RNF40|RPL14|SLC43A1|SUV39H1|TIMM44|TM7SF2|TMEM214|TNPO1|TRPM8|TSSK2|TUBB4B|UBR7|USP21|USP35|ZC3H12D|ZNF26|ZNF507,1,3,2.0
162,10,ANGPTL1|EDN3|FCGBP|HPGD|MYOT|NR1H4|OGN|SCN7A|SLC51B|STMN2,2,2,2.0
163,4,EPOR|PPP1R27|SERTAD2|TLE6,1,1,1.0
165,6,ABCA8|ADH1B|ADH1C|CD177|MT1M|PYY,2,2,2.0
166,12,AQP8|CA1|CA2|CA4|CLCA4|CLDN8|GCG|GUCA2A|GUCA2B|MS4A12|SLC4A4|ZG16,2,2,2.0
169,6,CDC16|EXOSC4|GFUS|HGH1|METTL5|OSER1,2,2,2.0
170,6,HAUS7|NMT1|OGFOD1|PSMG3|RPIA|ZNF511,2,2,2.0
173,10,APLF|BCOR|CWC15|EEFSEC|FKBP7|HAT1|METAP2|PIK3R4|RHOQ|ZCRB1,1,1,1.0
176,13,ABCF1|ARMC1|BCS1L|CARS1|CLIC1|CSNK2B|FAAP100|FANCE|HNRNPA3|MRPL48|MRPS34|PSMA1|RPAP2,2,2,2.0
179,1,NOC2L,2,2,2.0
180,5,C8orf33|DKK3|SLC25A17|SNX21|TRIM32,2,2,2.0
181,7,COL6A3|CREBZF|IL6|LAMC2|LRRC34|PLCB1|TMPRSS3,1,1,1.0
182,3,ANXA2|CAVIN1|JPT1,2,2,2.0
185,15,AK3|ANO10|ASB9|CD7|ENC1|IGF1|NEK2|NME1|PAIP2B|RUFY2|SDHA|SIRT7|SLC25A23|SP140|TOP1MT,2,2,2.0
187,5,APOLD1|CCDC137|MRPL50|NUCLEOLIN|WIZ,2,2,2.0
188,23,ADAM17|AIMP2|AKAP17A|CARHSP1|CCNQ|CLPP|CUEDC2|DPH2|FAM110A|FBXW9|HMGB1|MANBAL|MIIP|MRPL52|MRPS2|PSMB5|PTPMT1|SF3B4|SRRD|WDR45B|ZNF30|ZNF419|ZNF562,1,2,2.0
190,22,ADK|ATP6V1E2|BARD1|BOD1|DDX31|EARS2|EIPR1|GNPNAT1|HEATR5B|LSM4|NEDD1|NOM1|NUP35|PKM|RANBP17|RRM1|SLC39A3|TMEM265|UBR4|WDR46|ZNF133|ZNF92,1,2,1.0
191,9,AOC3|CAVIN2|DPYD|GGT6|GPA33|PDE6A|SECTM1|SIAE|TMT1A,1,1,1.0
192,17,ARHGAP30|C1QTNF12|CCDC107|CCR2|CD37|CD52|CYS1|EPM2AIP1|GSTM1|ITGA4|KCNMB1|LEAP2|MLIP|PTPRCAP|SLC39A5|TCL1A|TTC39A,1,1,1.0
193,11,CBLL1|ETFRF1|FUT8|ICE1|NBPF10|NFAT5|PIGV|PSMB4|SESN1|WBP4|WRNIP1,2,2,2.0
194,2,DDX41|TSEN34,1,2,1.5
