gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
ALDOC,0.1293736352115806,0.5643420444859379,0.0,0.0,0.0
APP,0.07367873710142014,0.30606152536660874,0.0,0.0,0.0
ATP6AP1,0.15087019909701604,0.4675725386261199,0.0,0.0,0.0
C1QL1,0.6859345316611406,0.19154705457579255,0.0,1.0,0.0
CIRBP,0.07762303074662634,0.40255722550995865,0.0,0.0,0.0
CISD1,0.06274964557072274,0.35019157717024024,0.0,0.0,0.0
CMC1,0.18519186256939732,0.07716152735357278,0.0,0.0,0.0
COMMD6,0.8193110682257926,0.06912519459662497,0.0,1.0,0.0
DDAH2,0.686924489013723,0.5993792266169052,0.0,1.0,0.0
DSP,0.6907388122897824,0.11135022666725625,0.0,1.0,0.0
ELMOD1,0.012735149132308459,0.16760626495366993,0.0,0.0,0.0
FAT4,0.7058121518510643,0.35908624564373154,0.0,1.0,0.0
FSTL3,0.8264564063993692,0.05926930766286937,0.0,1.0,0.0
FUCA1,0.520424334394963,0.3078678032311467,0.0,0.0,0.0
IL17RA,1.0,0.40379084276429666,0.0,1.0,0.0
LMAN2L,0.5286201299826032,0.0846058892998061,0.0,1.0,0.0
MDGA2,0.1511291576606386,0.20345471836151768,0.0,0.0,0.0
MRAP2,0.020662640648210055,0.0853015598560291,0.0,0.0,0.0
MRPL50,0.5726172292717859,0.04527637873092594,0.0,0.0,0.0
MVB12A,0.5795410833459463,0.291311899397652,0.0,1.0,0.0
NFIL3,0.7246135826241139,0.40265035970306,0.0,1.0,0.0
NFS1,0.14048429763753878,0.7620214811590712,0.0,0.0,0.0
NPAS3,0.5669176247828788,0.24761163134580533,0.0,1.0,0.0
PELI3,0.0,1.0,0.0,1.0,0.0
PHB2,0.23914136831922314,0.26116882961560695,0.0,0.0,0.0
PLAC9,0.880875120058841,0.7266921967324345,1.0,1.0,0.0
PON2,0.9008595968388012,0.05121554369607765,0.0,1.0,0.0
PPARGC1A,0.1019927839199305,0.3394073132817751,0.0,0.0,0.0
PXN,0.77229514209857,0.14914210974509973,0.0,1.0,0.0
RAB26,0.06796328774461073,0.6711273271529397,0.0,0.0,0.0
RAMAC,0.21742200417812851,0.18078995146341242,0.0,0.0,0.0
RC3H1,0.5113338562329559,0.5808531459044781,0.0,1.0,0.0
RIOK1,0.19538879510138543,0.3536151433831986,0.0,0.0,0.0
RPL12,0.5661285202548364,0.3203374222526364,0.0,1.0,0.0
RPL23A,0.5409950291480897,0.42218495385053095,0.0,1.0,0.0
RPLP1,0.8405859432290559,0.5722080040896679,1.0,1.0,0.0
SAE1,0.7181075649561761,0.48474826203077226,0.0,0.0,0.0
SAMD1,0.5141199399436893,0.1522221583398014,0.0,1.0,0.0
SLC37A4,0.18160535985993578,0.6280175442832753,0.0,0.0,0.0
SLC49A4,0.8318197459483007,0.04979260632661826,0.0,0.0,0.0
SOWAHC,0.7209112767368278,0.27236284482849465,0.0,1.0,0.0
SPRYD3,0.10401849990710786,0.4281259521260538,0.0,0.0,0.0
TCTN1,0.6982327080382719,0.10723237286441455,1.0,1.0,0.0
TMX1,0.818470224143371,0.3046493588637289,0.0,1.0,0.0
TOP2B,0.20059133473995544,0.2640929774716463,0.0,0.0,0.0
USP13,0.5817060407077482,0.0,0.0,0.0,0.0
VAMP8,0.9708994723640773,0.4070891607344859,0.0,1.0,0.0
ZC2HC1A,0.10865305684617552,0.17718108084952813,0.0,0.0,0.0
