hgnc_symbol,ensembl_id,tier,cluster_id,dominant_direction,average_log2fc,neg_log10_min_p,n_datasets_sig,direction_score,n_pathways
ATP5PO,ENSG00000241837,2,8,down,-0.3316163178590322,10.0,3,1.0,13
ATP6V1A,ENSG00000114573,2,-1,down,-0.3624901580576738,10.0,2,1.0,5
ATP6V1B2,ENSG00000147416,2,13,down,-0.6700856177974172,10.0,3,1.0,5
BLOC1S1,ENSG00000135441,2,32,down,-0.1756659160215285,3.6011446965941785,3,0.6666666666666666,1
BSCL2,ENSG00000168000,2,10,up,-0.08590118559487532,8.192737045664439,2,0.5,0
C1QTNF4,ENSG00000172247,2,13,down,-0.8721455581278924,10.0,3,1.0,0
C4A,ENSG00000244731,2,31,up,0.1932255784282291,10.0,2,1.0,1
CELF1,ENSG00000149187,2,25,up,0.1620247855858516,10.0,3,1.0,0
CHADL,ENSG00000100399,2,22,up,0.29828034630578193,5.808661626697407,2,1.0,0
COX6B1,ENSG00000126267,2,8,down,-0.3713292424121129,10.0,3,1.0,14
CPLX1,ENSG00000168993,2,24,down,-0.4173556075889523,9.78394322915286,4,0.75,3
CS,ENSG00000062485,2,14,down,-0.2089160069766691,10.0,3,1.0,4
DAGLA,ENSG00000134780,2,28,down,-0.12326051755772652,10.0,2,1.0,3
DAXX,ENSG00000204209,2,31,up,0.11787917854187331,10.0,2,1.0,5
DBI,ENSG00000155368,2,5,up,0.029459488047077875,10.0,4,0.75,0
DDB1,ENSG00000167986,2,7,down,-0.034088124224733604,10.0,3,0.6666666666666666,2
DHRS11,ENSG00000278535,2,13,down,-0.27464967531217943,10.0,3,1.0,0
DLAT,ENSG00000150768,2,14,down,-0.22179830526134584,10.0,3,1.0,4
DLGAP2,ENSG00000198010,2,13,down,-0.37573649074591553,10.0,3,1.0,0
DNAJC6,ENSG00000116675,2,15,down,-0.3424222478283701,10.0,3,1.0,2
DND1,ENSG00000256453,2,22,up,0.22825639202818004,6.871888152847115,2,1.0,0
DNM1,ENSG00000106976,2,15,down,-0.37233889367676054,10.0,3,1.0,7
DPP6,ENSG00000130226,2,13,down,-0.4703961100046863,10.0,3,1.0,0
ENO3,ENSG00000108515,2,7,up,0.20371297086250392,10.0,4,0.75,3
ERBB3,ENSG00000065361,2,33,up,0.23886858845930636,5.153152700613145,3,1.0,13
FARSA,ENSG00000179115,2,13,down,-0.16906831570112274,10.0,3,1.0,0
FCER1G,ENSG00000158869,2,28,up,0.09595078648486882,10.0,3,0.6666666666666666,8
FGF2,ENSG00000138685,2,33,up,0.2636240556350557,6.062469245570593,2,1.0,15
FOXO1,ENSG00000150907,2,17,up,0.4160114549766074,10.0,4,0.75,9
FRAT2,ENSG00000181274,2,25,up,0.15922841566770393,10.0,3,1.0,4
GABRA2,ENSG00000151834,2,23,down,-0.241977696539775,10.0,2,1.0,6
GAPDH,ENSG00000111640,2,7,down,-0.26431388924249144,10.0,4,0.75,5
GRIA2,ENSG00000120251,2,23,down,-0.4342402608731832,10.0,3,1.0,9
GSN,ENSG00000148180,2,25,up,0.36670432210540965,10.0,4,1.0,6
HABP4,ENSG00000130956,2,28,down,-0.2449397393775891,10.0,3,1.0,1
HOMER1,ENSG00000152413,2,20,down,-0.16207500804977626,10.0,2,1.0,2
HPR,ENSG00000261701,2,25,up,0.25800802323274197,10.0,3,1.0,0
HSPA2,ENSG00000126803,2,25,up,0.4469010438190549,10.0,3,1.0,0
HSPB2,ENSG00000170276,2,25,up,0.2485133432114897,10.0,3,1.0,2
IGFBP5,ENSG00000115461,2,28,up,0.32581644789224634,10.0,3,1.0,1
ISYNA1,ENSG00000105655,2,25,up,0.25625584855746525,10.0,3,1.0,0
ITGB2,ENSG00000160255,2,28,up,0.33677324743646514,10.0,4,1.0,11
ITPK1,ENSG00000100605,2,31,up,0.050474465508689795,10.0,2,1.0,0
KALRN,ENSG00000160145,2,1,down,-0.2950258875605795,10.0,3,0.6666666666666666,7
KCNK4,ENSG00000182450,2,19,down,-0.1069798229475539,10.0,2,1.0,2
KCNN3,ENSG00000143603,2,19,up,0.4563446730082781,10.0,3,1.0,1
LAIR1,ENSG00000167613,2,26,up,0.03201654062082522,10.0,2,1.0,2
LAMA4,ENSG00000112769,2,31,up,0.07289568264240012,7.306360945714666,2,1.0,3
LAPTM5,ENSG00000162511,2,10,up,0.10632941293244383,10.0,3,0.6666666666666666,2
LRRC8D,ENSG00000171492,2,9,down,-0.131814501735507,4.203405245428727,3,1.0,0
MANF,ENSG00000145050,2,28,down,-0.08485164638434245,6.249617709564185,3,0.6666666666666666,1
MAP2,ENSG00000078018,2,31,down,-0.1045358211870217,5.051611726365762,2,1.0,1
MDH2,ENSG00000146701,2,14,down,-0.3436322490381265,10.0,3,1.0,5
MEF2C,ENSG00000081189,2,2,down,-0.4469967909306145,10.0,4,0.75,6
MRPL37,ENSG00000116221,2,31,down,-0.33130658018543196,10.0,2,1.0,0
MSN,ENSG00000147065,2,25,up,0.3603411353130727,10.0,4,1.0,7
MTHFD1,ENSG00000100714,2,7,down,-0.2399048726928947,10.0,3,0.6666666666666666,0
NBAS,ENSG00000151779,2,10,up,-0.20701399030749457,10.0,2,0.5,0
NDUFA13,ENSG00000186010,2,8,down,-0.3085503356729407,10.0,3,1.0,14
NDUFS3,ENSG00000213619,2,8,down,-0.37794527768404723,10.0,4,1.0,17
NDUFV1,ENSG00000167792,2,8,down,-0.41909101866484993,10.0,4,0.75,15
NLRC5,ENSG00000140853,2,28,up,0.3219098189987151,9.602941086683439,3,1.0,2
NPM3,ENSG00000107833,2,31,down,-0.15665173742938865,10.0,2,1.0,0
NRN1,ENSG00000124785,2,13,down,-0.5497516412178955,10.0,3,1.0,0
NRXN3,ENSG00000021645,2,20,down,-0.48974166615084347,10.0,3,1.0,3
NSF,ENSG00000073969,2,24,down,0.003289735167932477,10.0,3,0.6666666666666666,4
NTRK2,ENSG00000148053,2,11,up,0.10728280244579462,2.9388703160290244,2,0.5,7
NUPR1,ENSG00000176046,2,17,up,0.4582425990326362,10.0,3,1.0,1
OLFM3,ENSG00000118733,2,13,down,-0.7417836542403174,10.0,3,1.0,0
PAK1,ENSG00000149269,2,1,down,-0.7009934984000136,10.0,3,1.0,21
PCM1,ENSG00000078674,2,7,down,-0.008429458773387175,9.521849385579914,3,0.6666666666666666,1
PDHA1,ENSG00000131828,2,14,down,-0.12710205362143445,10.0,4,1.0,6
PDHB,ENSG00000168291,2,14,down,-0.3721460281933659,10.0,4,1.0,6
PGM5,ENSG00000154330,2,11,up,0.12924324987935,4.741273215659318,2,0.5,0
PHYHD1,ENSG00000175287,2,25,up,0.56103775969829,10.0,3,1.0,0
PLEC,ENSG00000178209,2,25,up,0.17296281213202036,10.0,3,1.0,0
PLXNB1,ENSG00000164050,2,25,up,0.6449084536412252,10.0,3,1.0,2
POLR2G,ENSG00000168002,2,31,down,-0.09952658631314668,7.133775401327828,3,1.0,4
PRDX1,ENSG00000117450,2,5,up,-0.29081886202587126,10.0,4,0.5,1
PRDX6,ENSG00000117592,2,26,up,0.3428511767219094,10.0,3,1.0,2
PREX1,ENSG00000124126,2,1,up,0.36653594330175693,10.0,3,1.0,6
PRPF31,ENSG00000105618,2,7,up,-0.015053547458230399,9.757067728759822,3,0.6666666666666666,0
PSMC3,ENSG00000165916,2,0,down,-0.3056716362880939,10.0,3,1.0,28
PTPN6,ENSG00000111679,2,28,up,0.11757404313432382,10.0,2,1.0,11
PTPRC,ENSG00000081237,2,32,up,0.11084733878523473,3.6641422231269907,3,1.0,5
PYGL,ENSG00000100504,2,26,up,0.12101776934793418,10.0,2,1.0,2
