cluster_id,threshold_level,n_surviving,surviving_genes,direction_uniformity,dissolved
16,4,13,AKAP6|CHRM3|DACH2|FAR2|NECAB1|NPY|PTPRN2|RBFOX1|RIMBP2|SLC2A13|STMN4|TMEM132D|TMEM163,1.0,False
24,1,6,TSPOAP1|AP2A2|CPLX1|NSF|RAB3A|SYT1,1.0,False
24,2,5,TSPOAP1|AP2A2|CPLX1|NSF|SYT1,1.0,False
24,3,6,TSPOAP1|AP2A2|CPLX1|NSF|RAB3A|SYT1,1.0,False
24,4,6,TSPOAP1|AP2A2|CPLX1|NSF|RAB3A|SYT1,1.0,False
25,1,19,ABCA8|APOC1|CELF1|FRAT2|GSN|HPR|HSPA2|HSPB2|ISYNA1|MSN|PHYHD1|PLEC|PLXNB1|RHPN2|SCARA3|SEMA3F|SEPTIN10|SLC12A4|TRIOBP,1.0,False
25,2,19,ABCA8|APOC1|CELF1|FRAT2|GSN|HPR|HSPA2|HSPB2|ISYNA1|MSN|PHYHD1|PLEC|PLXNB1|RHPN2|SCARA3|SEMA3F|SEPTIN10|SLC12A4|TRIOBP,1.0,False
25,3,19,ABCA8|APOC1|CELF1|FRAT2|GSN|HPR|HSPA2|HSPB2|ISYNA1|MSN|PHYHD1|PLEC|PLXNB1|RHPN2|SCARA3|SEMA3F|SEPTIN10|SLC12A4|TRIOBP,1.0,False
25,4,19,ABCA8|APOC1|CELF1|FRAT2|GSN|HPR|HSPA2|HSPB2|ISYNA1|MSN|PHYHD1|PLEC|PLXNB1|RHPN2|SCARA3|SEMA3F|SEPTIN10|SLC12A4|TRIOBP,1.0,False
26,1,9,CR1|CTSH|GRN|LILRB2|TSPAN14|LAIR1|PRDX6|PYGL|CD33,1.0,False
26,2,7,CR1|CTSH|GRN|TSPAN14|LAIR1|PRDX6|PYGL,1.0,False
26,3,8,CR1|CTSH|GRN|LILRB2|TSPAN14|LAIR1|PRDX6|PYGL,1.0,False
26,4,8,CR1|CTSH|GRN|LILRB2|TSPAN14|LAIR1|PRDX6|PYGL,1.0,False
