cluster_id,gene,GSE33000_p,GSE33000_q,GSE5281_p,GSE5281_q,GSE132903_p,GSE132903_q,GSE63060_p,GSE63060_q,n_datasets_nominal,n_datasets_stringent,n_datasets_fdr
4,ADARB2,4.440892098500626e-16,7.490661370964912e-16,0.0201232031377962,0.03340610797578816,3.4637626100675334e-11,2.797654415823777e-10,0.889549524577429,1.0,3,2,3
4,AHNAK,2.1604025235433253e-07,2.8897103818095433e-07,6.845279898470835e-11,6.117058632676065e-10,6.661338147750939e-16,2.5434200200503586e-14,0.7007830411246856,0.9263782482812154,3,3,3
4,ANTXR1,0.0033242784044591,0.0038462725340849086,0.0041832989862791,0.008447046029986645,4.5079273647274925e-11,3.5061657281213827e-10,0.7312717658387795,0.9408333727865726,3,3,3
4,ARMH3,7.460476680876127e-12,1.1352899296985411e-11,0.9882068824088156,1.0,0.0022068857978334,0.0035243043159316656,0.0092589288632027,0.04575000144170746,3,3,3
4,CHST12,0.0,1e-300,0.0036760563923436,0.007605633915193655,2.5934809855243657e-13,4.357048055680935e-12,0.4293300408660196,0.6917704363819325,3,3,3
4,CLASRP,3.46042527965551e-10,4.977324032381213e-10,0.0088988391579001,0.015904308282204432,3.093825149780294e-05,6.595972400546819e-05,0.6113151895344111,0.8733074136205872,3,3,3
4,CYYR1,0.0,1e-300,2.999532178193931e-09,2.0319411529700822e-08,0.0243005504514584,0.03240073393527786,,1.0,3,2,3
4,ECHDC3,0.0,1e-300,0.423649786817061,0.5026353402914283,0.0159571096683102,0.02204600677858646,0.0007514582445751,0.00563593683431325,3,2,3
4,GALNT15,0.0,1e-300,0.0009438501095102,0.00226524026282448,3.629997675025365e-05,7.585069768709718e-05,0.0669139833282508,0.2114899783005619,3,3,3
4,LILRA5,5.814593251329825e-11,8.66003250198059e-11,0.6354218795232192,0.700465064041344,0.0002985456497026,0.0005358511661328717,1.0649505179927132e-06,2.4848845419829974e-05,3,3,3
4,NCKAP5,5.089262344881719e-13,8.005581216667873e-13,0.0028523522894401,0.006143528008024831,2.281201586074033e-06,5.988154163444337e-06,0.8088989827434521,0.9762573929662353,3,3,3
4,OSBP2,4.55606574689682e-09,6.35730104218161e-09,3.2004282758624214e-05,9.670358819152641e-05,6.315878748619497e-05,0.0001269219652832626,0.0526217978352532,0.17680924072645074,3,3,3
4,PILRA,0.0,1e-300,0.6057013295458631,0.6747866270802718,8.896652303747032e-09,3.6633274191899545e-08,0.0019037577721805,0.013107840398619836,3,3,3
4,RBMS3,9.547918011776346e-14,1.5423559865177175e-13,1.7473333890904994e-09,1.2030820056032946e-08,0.017963626628672,0.024736797324728655,0.6452371706481561,0.8856196459876653,3,2,3
4,SLC26A1,0.0,1e-300,0.0166560635246233,0.028445635352641413,1.2355227951843514e-10,8.506878261925042e-10,0.2971689932537416,0.56221160885843,3,2,3
4,SMARCC1,0.0,1e-300,7.83361939760141e-08,3.8263604729138484e-07,1.6399326341343112e-11,1.5306037918586904e-10,0.162809922250056,0.36962252618931635,3,3,3
4,SNX18,2.4646951146678475e-12,3.7779998108047294e-12,4.99794115600416e-05,0.000145773283716788,4.5658983390595154e-05,9.446686218743825e-05,0.8532544026190487,0.9920529041680095,3,3,3
4,TENT5A,0.0,1e-300,0.0557606406355808,0.07938803073540317,6.068136002568281e-06,1.4647224833785504e-05,1.2833751616980749e-06,2.8369345679641655e-05,3,3,4
4,TRPS1,0.0,1e-300,7.330797191507088e-08,3.665398595753544e-07,5.186824303393678e-10,2.9842002841443077e-09,0.5502080525058723,0.8223750250977452,3,3,3
4,VTI1A,0.0,1e-300,1.1350920203767598e-12,1.7656986983638486e-11,0.0007623828590819,0.001280803203257592,0.7489955876944381,0.9408333727865726,3,3,3
4,YAP1,0.0,1e-300,5.773159728050814e-15,2.020605904817785e-13,0.0001229319346485,0.00023362630114194573,,1.0,3,3,3
