gene,cluster_id,max_level_survived,mean_log2fc,direction
ABCA7,23,4,0.09826660607929205,up
EGFR,23,4,0.10601959598874122,up
FBP1,23,4,0.09580234557496072,up
FBXO32,23,4,0.11600403812841627,up
FLNB,23,4,0.08919906306308582,up
GRN,23,4,0.09700624854727291,up
IQGAP2,23,4,0.10649772630629507,up
NFIC,23,4,0.1113565090661643,up
RBCK1,23,4,0.09551629798676119,up
SPI1,23,4,0.09337453103571514,up
ABCA8,24,4,0.19732718121877904,up
DBI,24,4,0.21250038067354804,up
DOCK1,24,4,0.21180015993553894,up
ECHDC3,24,4,0.21746570801580267,up
IGFBP5,24,4,0.21979206949560767,up
NOTCH1,24,4,0.21403013084216718,up
PLCG2,24,4,0.1998300716578414,up
PRKD3,24,4,0.2190363641022235,up
SEPTIN10,24,4,0.20522727875420013,up
AFF1,25,4,0.19004901281740372,up
AK4,25,4,0.17255558362595447,up
APOC1,25,4,0.17847173564707083,up
CTSH,25,4,0.1802339953106209,up
FERMT2,25,4,0.1809441548416769,up
IQCK,25,4,0.17035721873474466,up
PTPN6,25,4,0.18871374304765723,up
SNX29,25,4,0.1690360517013442,up
ALDH1A2,26,4,0.08487783228982847,up
BLNK,26,4,0.11376029676370059,up
GRK5,26,4,-0.06373266575388548,down
RHPN2,26,4,0.11007250174649985,up
SLC24A4,26,4,0.09507921656042355,up
SUMF1,26,4,0.1413980010466712,up
UNC5CL,26,4,0.048432868362614206,up
CABLES1,27,4,0.08424565991402072,up
DSG2,27,4,0.1261050383084857,up
FTH1P5,27,4,0.10086232200555764,up
RORA,27,4,0.10609611446560467,up
ZNRF4,27,4,0.05006765272168278,up
CLU,28,4,0.16396079568992838,up
MAF,28,4,0.11196683327922491,up
NGFR,28,4,0.12119464650622432,up
SYK,28,4,0.13441716173247442,up
ZBTB16,28,4,0.13369201630525337,up
ATP1B1,29,4,-0.344045959525953,down
CNTNAP2,29,4,-0.3312806700675361,down
GRIA2,29,4,-0.3205024864602651,down
NRXN3,29,4,-0.32801318178246713,down
RBFOX1,29,4,-0.3201560763417432,down
SV2B,29,4,-0.3274688133846817,down
ATP6V1A,30,4,-0.3892983375120824,down
ATP6V1B2,30,4,-0.4406624957820442,down
NRN1,30,4,-0.3718525503381496,down
NSF,30,4,-0.36929953680198374,down
PAK1,30,4,-0.5977480896771608,down
RPH3A,30,4,-0.43408762598560285,down
RTN1,30,4,-0.4764144995770838,down
SYT1,30,4,-0.6647598364972539,down
TAGLN3,30,4,-0.3607201003847043,down
VGF,30,4,-0.6181731876306351,down
ADAMTS1,31,4,0.31851977128225095,up
FOXF1,31,4,0.29741096857580107,up
ITGB2,31,4,0.31833503940131475,up
KCNN3,31,4,0.30134689887019633,up
LTBP1,31,4,0.31289156856509254,up
SCARA3,31,4,0.3208142080491907,up
YAP1,31,4,0.3093690358147161,up
COL6A3,32,4,0.36549775804014767,up
HLA-DRA,32,4,0.40764472702518556,up
NUPR1,32,4,0.37598076742965064,up
PLXNB1,32,4,0.38671400284156504,up
SLC52A3,32,4,0.36891066546866913,up
APOE,33,4,0.08594979543860809,up
CD2AP,33,4,0.07088585005612208,up
CHST12,33,4,0.07926287118068061,up
FANCD2,33,4,0.0784197865784517,up
FBXW10,33,4,0.058441401475720384,up
NCKAP5,33,4,0.08082194784962456,up
ROR2,33,4,0.07500973366281244,up
SCIMP,33,4,0.06742617895561552,up
TMEM94,33,4,0.07741150308667274,up
TNIP1,33,4,0.08383087576579751,up
TPCN1,33,4,0.07595813445353071,up
AHCYL1,34,4,0.045784909695422836,up
CELF1,34,4,0.06059252491198883,up
IDUA,34,4,0.04387065776379755,up
PDE10A,34,4,0.029138316970674306,up
STAU1,34,4,0.042253256002659174,up
TULP3,34,4,0.04335379550780324,up
CFAP46,35,4,0.027919428523054034,up
ERBB3,35,4,0.07925866493829144,up
MAD1L1,35,4,0.03690593787256594,up
CR1L,36,4,0.052570010894711805,up
MGMT,36,4,-0.03788422639512774,down
PGM5,36,4,-0.026893882669409064,down
ADAMTS2,37,4,0.05615403987718243,up
ADARB2,37,4,0.07150320399897903,up
ASB3,37,4,0.06505695646711039,up
BCAR3,37,4,0.06113110306893125,up
CDKAL1,37,4,0.05147508203777146,up
CR1,37,4,0.07084690737037824,up
PRDX1,37,4,0.056632111973250944,up
SLC12A4,37,4,0.057829086907262926,up
ASAH1,38,4,-0.0035774368051285275,down
DEDD,38,4,-0.0029596117947752834,down
POLR2G,38,4,-0.0021922639576490988,down
GPR141,39,4,-0.008102397116548593,down
MMP12,39,4,0.0040297996142663675,up
SHARPIN,39,4,-0.0284225957706799,down
AFF3,40,4,0.005606192741246141,up
AGAP1,40,4,0.009472823917287848,up
ARMH3,40,4,0.03792096092154527,up
BIN1,40,4,0.04023332287640085,up
DOCK4,40,4,0.019696147197412136,up
GATAD2A,40,4,0.017433074498466834,up
LIN9,40,4,0.03200580080149837,up
NDUFA10,40,4,0.021334534382110016,up
PCSK5,40,4,0.030435294381220196,up
PLEC,40,4,0.04061732691250186,up
RABEP2,40,4,0.004281343558603157,up
ROBO1,40,4,0.008899284053278481,up
SLC26A1,40,4,0.029102162282386684,up
SLC2A4RG,40,4,0.023476910169640264,up
SORT1,40,4,0.04497636562808322,up
TARDBP,40,4,0.024628304532931383,up
