gene,cluster_id,max_level_survived,mean_log2fc,direction
ZZEF1,15,4,-1.2662190274452636,down
ARK2N,16,4,-0.3430627991352324,down
BCO1,16,4,-0.4716168693095115,down
C6orf120,16,4,-0.3672179049860542,down
DNAJC27,16,4,-0.3000233881625117,down
DORIP1,16,4,-0.37745174181351643,down
EGF,16,4,-0.7379200829654119,down
FRYL,16,4,-0.5019839732397896,down
IQGAP1,16,4,-0.301796059976508,down
MKNK1,16,4,-0.2926431866139154,down
NARS1,16,4,-0.29169628786547125,down
NBR1,16,4,-0.3470433770592276,down
NMNAT1,16,4,-0.31608759313176726,down
RNLS,16,4,-0.44337089655559997,down
SLC25A46,16,4,-0.2972457297799404,down
STRN3,16,4,-0.2821238248344935,down
WDR20,16,4,-0.2998392160363717,down
CHAF1A,17,4,0.7146236064051704,up
OXLD1,17,4,0.6130677759051002,up
PAM16,17,4,0.70415131555567,up
PARP1,17,4,0.766217331501684,up
TCF7,17,4,0.7063521649101574,up
TENT4A,17,4,0.6544396070538179,up
ALG5,18,4,0.8066422426913835,up
CD46,18,4,0.7149529163018317,up
COMMD7,18,4,0.8220662910970743,up
DNAJA3,18,4,0.7014954349383405,up
EIF2S1,18,4,0.659707047683615,up
ELAVL1,18,4,0.6723525794097723,up
MED27,18,4,0.6234401755812273,up
POLR2I,18,4,0.6988478554059357,up
PUF60,18,4,0.6070025686344378,up
RLIM,18,4,0.5466804288920848,up
ZNF7,18,4,0.6543479818261648,up
C19orf25,19,4,0.3762708697411699,up
FLOT1,19,4,0.3191131637896832,up
HNRNPA1,19,4,0.3161750093562456,up
SPATS2,19,4,0.5183381175012197,up
ARL5B,20,4,0.6751275472586039,up
EPSTI1,20,4,0.8931043028355697,up
FOSL1,20,4,1.324851898146945,up
GRPEL1,20,4,0.5800467482580028,up
IL1B,20,4,1.4340664913914696,up
MAP3K20,20,4,1.568269743034726,up
MEGF6,20,4,1.092020760668354,up
METTL26,20,4,0.8953975752334946,up
NABP1,20,4,0.6205698449687223,up
ODC1,20,4,1.0548317760115804,up
PCBD1,20,4,0.6466807028127158,up
PEA15,20,4,0.8078742836697822,up
SCRN1,20,4,1.2473221762084215,up
SLC6A14,20,4,1.7129383760296018,up
SRP68,20,4,0.389187581442662,up
ZNF275,20,4,0.6450170782536068,up
DCAF7,21,4,0.4796499877072365,up
DOCK9,21,4,0.5854063244468849,up
GPHRA,21,4,0.675539855603375,up
NDUFAF2,21,4,0.726928449021664,up
PGM3,21,4,0.5618606851573927,up
WIPI2,21,4,0.48039483837737357,up
ZFP36L1,21,4,0.5784371298749326,up
ADRM1,22,4,1.2786468110503388,up
CXCL16,22,4,1.2758118635859033,up
GART,22,4,1.2822152307628014,up
GMPS,22,4,1.277857660972561,up
HMGA1,22,4,1.2694370511840638,up
LRP11,22,4,1.2801207821517957,up
RRP9,22,4,1.2789689638330801,up
SACK1H,22,4,1.275309390214862,up
CD4,23,4,-0.6097988157947709,down
GNGT2,23,4,-0.5988605504090738,down
SLC2A10,23,4,-0.7305012412200463,down
WFDC1,23,4,-0.6343103611257694,down
ZSCAN10,23,4,-0.8522246938874138,down
GNAT2,24,4,-1.0770352184123662,down
RASGRP3,24,4,-0.610557145583404,down
TRPM8,24,4,-0.8526819001732773,down
ATP8A1,25,4,-1.3603727307337525,down
EPHA4,25,4,-1.3710607428402595,down
FKBP1B,25,4,-1.3874908854609709,down
MIER3,25,4,-1.4039911753437961,down
RTN1,25,4,-1.3739810018804386,down
ACVRL1,26,4,-1.2637603813849945,down
AKAP9,26,4,-1.247731688840007,down
C1orf210,26,4,-1.254116837665787,down
CFHR1,26,4,-1.2618265524868282,down
FAM107B,26,4,-1.2500537646713001,down
MTMR11,26,4,-1.2443983885922585,down
RAPGEFL1,26,4,-1.256341440949294,down
RHOU,26,4,-1.2439800979475326,down
SOWAHA,26,4,-1.2622403146086507,down
SSPN,26,4,-1.2643519895250313,down
SYNE1,26,4,-1.25767154142242,down
ZEB2,26,4,-1.250722895597247,down
CLIC2,27,4,-1.2721646914272569,down
COL4A6,27,4,-1.2871162356911099,down
ECI2,27,4,-1.2864733116955154,down
SMIM31,27,4,-1.2885225607108344,down
TFCP2L1,27,4,-1.278745971016386,down
CPAP,28,4,1.0608761281844334,up
EPHB3,28,4,1.0570033469290478,up
MND1,28,4,1.1292623559754107,up
NCAPG,28,4,1.139088521617379,up
PPP1R14B,28,4,1.0428784281664945,up
ADAMDEC1,29,4,-3.584550338609532,down
BCHE,29,4,-3.420627497205313,down
CXCL12,29,4,-3.50719562830205,down
ITLN1,29,4,-3.6128932429410505,down
LAMA1,29,4,-3.5853318331362622,down
SCARA5,29,4,-3.4287649623390695,down
SCNN1B,29,4,-3.5516597459062162,down
SLC26A3,29,4,-3.5784139272353985,down
UGT2A3,29,4,-3.5396424187314355,down
VSIG2,29,4,-3.511744117350652,down
FOLR2,31,4,-1.4624284232565568,down
HOXD4,31,4,-1.4346983058023501,down
MFAP5,31,4,-1.4565355156341806,down
PLA2G4A,31,4,-1.423305073783072,down
PROM2,31,4,-1.438060692243526,down
SLC2A13,31,4,-1.4498821530244326,down
CKS2,33,4,1.4832178467228463,up
FERMT1,33,4,1.2871216770666092,up
GAL,33,4,1.7786978678446654,up
HKDC1,33,4,1.271033296077846,up
PALD1,33,4,1.6662351906216468,up
SERPINH1,33,4,1.4492183612103888,up
TMEM201,33,4,1.2099967596726555,up
CDH11,34,4,1.0811203351283403,up
GINS3,34,4,1.0721660482959818,up
KIF3A,34,4,1.0521574506384865,up
POMGNT2,34,4,1.0521345014960775,up
SCLY,34,4,0.9989160254318303,up
SF3A2,34,4,1.0863025293046107,up
SPC24,34,4,1.0244737881768082,up
SYNE4,34,4,1.0746852032432261,up
BRIP1,35,4,0.8644550524244353,up
CCNE2,35,4,0.980853034060312,up
DPH6,35,4,0.8801873929565227,up
METTL6,35,4,0.9206133845033463,up
MIPEP,35,4,0.9729355220303534,up
WDR18,35,4,0.9063000450593656,up
ADGRE5,36,4,0.4830377917022721,up
APEX1,36,4,0.44192963071028757,up
BET1,36,4,0.46682620183736895,up
CENPB,36,4,0.6030971065475897,up
CLCC1,36,4,0.3778553932422595,up
ELOF1,36,4,0.3688697214787249,up
FASTKD2,36,4,0.5131007060059188,up
SLC35B1,36,4,0.3926068200496597,up
SMIM26,36,4,0.4081815030341757,up
WDSUB1,36,4,0.4347334389906304,up
EIF2AK2,37,4,0.6123683762285133,up
EIF4G1,37,4,0.4295500774942888,up
MAK16,37,4,0.6237730431570219,up
MTIF3,37,4,0.4376212600321961,up
