gene,n_datasets_detected,n_datasets_significant,mean_log2fc,consistent_direction
ACSL6,3,2,-0.07378662051822522,True
ACSM1,3,2,0.08366527393894486,True
ACSM2A,2,2,-0.026774996341686272,True
ACSM2B,3,2,0.017751786271995907,True
ACSM5,3,3,-0.0030942958828888236,False
ACSS1,3,3,0.18621869363082233,True
ACSS3,3,3,0.268696892768081,True
ACTA1,3,3,0.011308596089730403,False
ACTA2,3,2,0.28755561052642736,True
ACTB,3,3,-0.05642061795859479,True
ACTBL2,3,3,0.023955763392996116,False
ACTC1,3,2,-0.028001992496420103,True
ACTG1,3,3,-0.12746791206343897,True
ACTG2,3,3,0.21505394732522012,True
ACTL10,3,2,0.01557038388193766,True
ACTL6A,3,3,0.1887770783014061,True
ACTL6B,3,2,-0.057811080841014106,True
ACTL7A,3,2,0.13624410822674088,True
ACTL7B,3,2,-0.08097712317061771,True
ACTL8,3,3,-0.08747380824100232,True
ACTL9,3,2,-0.06450666878726274,True
ACTMAP,3,3,0.11869826902506976,True
ACTN2,3,2,-0.28911437529769585,True
ACTN4,3,3,0.06224123380566621,True
ACTR10,3,3,-0.18287898386294324,True
ACTR1A,3,3,-0.10017244017546904,True
ACTR1B,3,3,0.06835346765663804,False
ACTR2,3,3,-0.1377215179045919,True
ACTR3,3,2,-0.06481755099306886,True
ACTR3B,3,2,-0.21233014512969736,True
ACTR6,3,3,-0.16911428751850097,True
ACTR8,3,2,0.004406737712108875,True
ACTRT2,3,2,0.018677309773177938,True
ACTRT3,3,3,-0.14834314957916742,True
ACVR1,3,3,0.15719053513828818,True
ACVR1B,3,2,0.04916506035992115,False
ACVR1C,3,2,-0.12959683184981663,True
ACVR2A,3,2,-0.05835445019547975,True
ACVR2B,3,2,0.056261089401690834,True
ACVRL1,3,2,0.07112163448778859,True
ACY3,3,2,-0.058388979489076794,True
ACYP1,3,2,-0.04752783734107677,True
ACYP2,3,2,-0.056761552659936286,True
ADA,3,3,0.19294881682866794,True
ADAD2,3,3,-0.28100995555930763,True
ADAM10,3,2,0.000347074422338232,True
ADAM11,3,3,-0.17996953497506163,True
ADAM12,3,3,-0.1370613524248682,False
ADAM15,3,3,0.0005184161324355285,False
ADAM17,3,3,-0.020418738212340786,False
ADAM19,3,2,-0.08000826472543139,True
ADAM20,3,2,0.03585102226118847,True
ADAM22,3,3,-0.1188640286268912,True
ADAM23,3,2,-0.17227210274612448,True
ADAM28,3,3,0.21059107542888203,True
ADAM32,3,2,-0.01308708360223191,True
ADAM33,3,2,0.1535450546008129,True
ADAM8,3,2,0.04425191097758988,True
ADAMTS1,3,3,0.31851977128225095,True
ADAMTS10,3,2,-0.0752543441777296,False
ADAMTS13,3,2,0.057615422392077585,True
ADAMTS16,3,2,-0.07165411973360238,True
ADAMTS17,3,2,0.06237633070935631,True
ADAMTS19,3,3,0.03054799042997483,False
ADAMTS2,3,2,0.05615403987718243,True
ADAMTS20,3,2,-0.013149710017767305,True
ADAMTS3,3,3,-0.23155356573417407,True
ADAMTS4,3,2,-0.017712869120541156,False
ADAMTS5,3,3,0.05716640153118033,False
ADAMTS7,3,3,-0.1349763355610761,True
ADAMTS8,3,2,-0.06944821676412609,True
ADAMTS9,3,3,0.41028216854185123,True
ADAMTSL3,3,2,0.01784941642442524,True
